Wafer#1 11.3mils thick EE535,
Wavelength (nm),R
2325,52.57834244
2324,52.55316925
2323,52.55067825
2322,52.61965561
2321,52.5681839
2320,52.55556107
2319,52.56455612
2318,52.59503555
2317,52.59260559
2316,52.61059952
2315,52.58830261
2314,52.61183929
2313,52.60656357
2312,52.63968658
2311,52.60249329
2310,52.63438416
2309,52.63619995
2308,52.59980392
2307,52.59592056
2306,52.59380341
2305,52.63166428
2304,52.60716248
2303,52.63934708
2302,52.62852859
2301,52.6323204
2300,52.62955475
2299,52.59521484
2298,52.68785858
2297,52.67781448
2296,52.73952484
2295,52.65967941
2294,52.67652893
2293,52.67471695
2292,52.68978882
2291,52.69778442
2290,52.71055222
2289,52.7187233
2288,52.68202591
2287,52.68703079
2286,52.73571777
2285,52.74824524
2284,52.68202591
2283,52.6799202
2282,52.71291733
2281,52.73122787
2280,52.72977829
2279,52.74581909
2278,52.75905609
2277,52.78815079
2276,52.7676506
2275,52.75669098
2274,52.82387543
2273,52.77481842
2272,52.8287468
2271,52.81616974
2270,52.7536087
2269,52.77553177
2268,52.82473755
2267,52.77590179
2266,52.76539993
2265,52.83132172
2264,52.83105469
2263,52.76039124
2262,52.7156601
2261,52.82165527
2260,52.7530899
2259,52.758461
2258,52.80045319
2257,52.73398209
2256,52.74655914
2255,52.76839066
2254,52.74466705
2253,52.78231049
2252,52.800457
2251,52.69709396
2250,52.75370026
2249,52.77051926
2248,52.74520493
2247,52.68956375
2246,52.67987061
2245,52.74665833
2244,52.77514648
2243,52.73019028
2242,52.7485199
2241,52.75958252
2240,52.74881744
2239,52.73966217
2238,52.74795151
2237,52.78722763
2236,52.74369049
2235,52.74310684
2234,52.68768692
2233,52.74473572
2232,52.71549988
2231,52.73646164
2230,52.73592377
2229,52.72833252
2228,52.75071335
2227,52.76272964
2226,52.73605728
2225,52.72290802
2224,52.68405151
2223,52.72676468
2222,52.73765182
2221,52.75040436
2220,52.70780945
2219,52.66931534
2218,52.71549225
2217,52.72621536
2216,52.72719193
2215,52.77295685
2214,52.71376419
2213,52.75494003
2212,52.82427597
2211,52.768116
2210,52.77651978
2209,52.75630951
2208,52.70870209
2207,52.72666931
2206,52.7188797
2205,52.72823715
2204,52.72433853
2203,52.7033577
2202,52.73422623
2201,52.77521515
2200,52.69898605
2199,52.7612381
2198,52.73100662
2197,52.69709396
2196,52.75146484
2195,52.73323822
2194,52.73345184
2193,52.70051956
2192,52.79134369
2191,52.72001648
2190,52.75204849
2189,52.77723694
2188,52.76653671
2187,52.72715759
2186,52.77268219
2185,52.74072266
2184,52.78449249
2183,52.79463959
2182,52.76538849
2181,52.76976395
2180,52.82635117
2179,52.78198624
2178,52.77711868
2177,52.81858444
2176,52.80101395
2175,52.83742523
2174,52.83228683
2173,52.85790634
2172,52.8006134
2171,52.80028152
2170,52.76608276
2169,52.7884407
2168,52.87220001
2167,52.82490921
2166,52.83400345
2165,52.83201218
2164,52.79788208
2163,52.81876373
2162,52.80288315
2161,52.86638641
2160,52.78660583
2159,52.8255043
2158,52.7977066
2157,52.76854706
2156,52.85491943
2155,52.81087112
2154,52.7926445
2153,52.83923721
2152,52.80765152
2151,52.83491516
2150,52.85286713
2149,52.86645889
2148,52.85633087
2147,52.80682373
2146,52.84568024
2145,52.82034302
2144,52.89167023
2143,52.8041954
2142,52.86425781
2141,52.85089493
2140,52.84094238
2139,52.86381149
2138,52.82281113
2137,52.84231949
2136,52.83612061
2135,52.88513184
2134,52.84936905
2133,52.89402008
2132,52.84027481
2131,52.82904434
2130,52.85554504
2129,52.85910416
2128,52.84656143
2127,52.87762451
2126,52.85803604
2125,52.86856461
2124,52.90993881
2123,52.86540985
2122,52.88378525
2121,52.85026932
2120,52.84633636
2119,52.82013321
2118,52.92227173
2117,52.8186264
2116,52.86483765
2115,52.8715744
2114,52.87578583
2113,52.88342285
2112,52.92700577
2111,52.90793228
2110,52.88703918
2109,52.8764801
2108,52.87446976
2107,52.83376694
2106,52.896698
2105,52.89223862
2104,52.89997482
2103,52.83948135
2102,52.8763237
2101,52.88830948
2100,52.9380188
2099,52.89739227
2098,52.906353
2097,52.97405243
2096,52.92515182
2095,52.90217972
2094,52.87667465
2093,52.87722397
2092,52.89099121
2091,52.88578415
2090,52.89208221
2089,52.9224472
2088,52.96006775
2087,52.91566849
2086,52.93255997
2085,52.8499794
2084,52.91952515
2083,52.96749878
2082,52.90876007
2081,52.91497803
2080,52.93410873
