Wafer#2 7.8mils thick EE535,
Wavelength (nm),T
2056,53.22826004
2055,53.2991333
2054,53.35358429
2053,53.18199539
2052,53.30340195
2051,53.34364319
2050,53.22429657
2049,53.25757217
2048,53.34386063
2047,53.19701385
2046,53.29515457
2045,53.30662155
2044,53.1853981
2043,53.27956009
2042,53.29456329
2041,53.21833038
2040,53.31015778
2039,53.31895828
2038,53.2395668
2037,53.33111954
2036,53.28899002
2035,53.26827621
2034,53.30740738
2033,53.32484818
2032,53.26086426
2031,53.33745575
2030,53.29092789
2029,53.24783325
2028,53.31103134
2027,53.27203369
2026,53.23051834
2025,53.39413834
2024,53.29139328
2023,53.25839615
2022,53.36613083
2021,53.2854805
2020,53.2748642
2019,53.34721756
2018,53.26231003
2017,53.30757523
2016,53.35568237
2015,53.21033478
2014,53.26437378
2013,53.33739471
2012,53.19514847
2011,53.32378006
2010,53.29079437
2009,53.25028992
2008,53.30743027
2007,53.29186249
2006,53.21629715
2005,53.31553268
2004,53.32602692
2003,53.25654602
2002,53.34851074
2001,53.22174454
2000,53.25233459
1999,53.34365845
1998,53.2537117
1997,53.33270264
1996,53.39900208
1995,53.22680664
1994,53.37179947
1993,53.32606888
1992,53.29204178
1991,53.37462997
1990,53.26928329
1989,53.27819061
1988,53.3948555
1987,53.23615265
1986,53.31275558
1985,53.34111404
1984,53.26398468
1983,53.37475967
1982,53.3535881
1981,53.26461792
1980,53.39696503
1979,53.28927612
1978,53.20526505
1977,53.35344696
1976,53.26140594
1975,53.26534653
1974,53.37233734
1973,53.25158691
1972,53.31715393
1971,53.3359642
1970,53.24480057
1969,53.34754181
1968,53.26832581
1967,53.27395248
1966,53.34117889
1965,53.2622757
1964,53.33462524
1963,53.35753632
1962,53.25833511
1961,53.39481354
1960,53.30780029
1959,53.23590469
1958,53.40065384
1957,53.22040176
1956,53.23259354
1955,53.37602615
1954,53.28040695
1953,53.2649765
1952,53.35037613
1951,53.21175385
1950,53.34474564
1949,53.26091766
1948,53.29125977
1947,53.38130188
1946,53.23371887
1945,53.30744553
1944,53.33807373
1943,53.26042175
1942,53.39352036
1941,53.25650406
1940,53.26198959
1939,53.36969376
1938,53.24475098
1937,53.345047
1936,53.26683426
1935,53.28072739
1934,53.35243225
1933,53.27785492
1932,53.3045845
1931,53.39168167
1930,53.23044586
1929,53.30500793
1928,53.29528427
1927,53.27864456
1926,53.32122421
1925,53.17040634
1924,53.27444839
1923,53.35839462
1922,53.22743225
1921,53.33045578
1920,53.33002853
1919,53.26014709
1918,53.30353546
1917,53.18537521
1916,53.26561356
1915,53.23028564
1914,53.10823822
1913,53.26465225
1912,53.14120483
1911,53.27454758
1910,53.23949432
1909,53.15167236
1908,53.36090851
1907,53.22446823
1906,53.31079865
1905,53.2710495
1904,53.24670792
1903,53.34036255
1902,53.28196716
1901,53.26180267
1900,53.3656044
1899,53.21379471
1898,53.38106155
1897,53.2454834
1896,53.35589218
1895,53.38878632
1894,53.21562195
1893,53.30746841
1892,53.21989822
1891,53.26432419
1890,53.3373642
1889,53.19780731
1888,53.35638046
1887,53.2665062
1886,53.32104111
1885,53.3629303
1884,53.2769928
1883,53.28251266
1882,53.23876572
1881,53.27391052
1880,53.38905334
1879,53.23107147
1878,53.36301804
1877,53.2285614
1876,53.23268127
1875,53.24435806
1874,53.07782364
1873,53.18751526
1872,52.98529434
1871,53.06708908
1870,53.14245987
1869,53.1061821
1868,53.29183197
1867,53.17608261
1866,53.32092667
1865,53.24563217
1864,53.18149185
1863,53.32385254
1862,53.25174332
1861,53.31270599
1860,53.23265839
1859,53.28730774
1858,53.30789566
1857,53.14106369
1856,53.33257294
1855,53.1786499
1854,53.16156769
1853,53.22909546
1852,53.17271423
1851,53.33644867
1850,53.19062042
1849,53.30757904
1848,53.16123962
1847,53.15557098
1846,53.28598785
1845,53.11561966
1844,53.20581055
1843,53.12381363
1842,53.0439682
1841,53.10217667
1840,53.07580948
1839,53.16052246
1838,53.08939362
1837,53.29618454
1836,53.24000168
1835,53.20293427
1834,53.2649765
1833,53.22574997
1832,53.23643112
1831,53.13064575
1830,53.2690239
1829,53.24411392
1828,53.27025604
1827,53.34343338
1826,53.22176743
1825,53.33839035
1824,53.16524506
1823,53.2865715
1822,53.20531845
1821,53.16343307
1820,53.22431946
1819,53.09687424
1818,53.2550621
1817,53.1604538
1816,53.23954391
1815,53.2200737
1814,53.24649811
1813,53.24440765
1812,53.16142273
1811,53.29397964
1810,53.09718704
1809,53.30282593
1808,53.15155411
1807,53.19073105
1806,53.1568222
1805,53.19222641
1804,53.24256897
1803,53.10880661
1802,53.23058319
1801,53.14113617
1800,53.19982147
1799,53.11461639
1798,53.16307449
1797,53.19703293
1796,53.13083649
1795,53.24888992
1794,53.11903381
1793,53.25756836
1792,53.15372467
1791,53.17386246
1790,53.15806961
1789,53.14816666
1788,53.16339111
1787,53.12156677
1786,53.20769501
1785,53.08082581
1784,53.20132446
1783,53.12312317
1782,53.25174332
1781,53.10651016
1780,53.21417999
1779,53.16712189
1778,53.14058685
1777,53.16636658
1776,53.14500427
1775,53.23389053
1774,53.08991241
1773,53.19545746
1772,53.09764862
1771,53.15820694
1770,53.10990906
1769,53.22597122
1768,53.10569382
1767,53.14447403
1766,53.10424042
1765,53.04804993
1764,53.20177841
1763,53.07147598
1762,53.21436691
1761,53.05482101
1760,53.20433426
1759,53.10902405
1758,53.18232346
1757,53.05593491
1756,53.13786697
1755,53.15672302
1754,53.16037369
1753,53.14605331
1752,53.08712769
1751,53.13694382
1750,53.00915146
1749,53.18785477
1748,53.08737183
1747,53.1919899
1746,53.04248428
1745,53.17772675
1744,53.04068375
1743,53.13879395
1742,52.98871994
1741,53.10531998
1740,53.09470749
1739,53.13123322
1738,53.06500244
1737,53.09944153
1736,53.05735397
1735,53.06196976
1734,53.06858444
1733,53.05123901
1732,53.14694214
1731,53.01904678
1730,53.13471603
1729,53.06241989
1728,53.04753876
1727,52.98267746
1726,53.10036087
1725,53.04451752
1724,53.13963318
1723,53.00146484
1722,53.1089325
1721,52.97748947
1720,53.06702805
1719,53.00331116
1718,53.057827
1717,53.06322098
1716,53.12724304
1715,53.02194214
1714,53.0545845
1713,52.99892426
1712,53.1002388
1711,53.04330063
1710,53.01395035
1709,52.98491669
1708,53.01165009
1707,53.04178619
1706,53.04156494
1705,52.95609665
1704,53.0083847
1703,52.97480392
1702,53.10155869
1701,53.09732056
1700,53.03136826
1699,53.01643753
1698,53.00095749
1697,53.04228592
1696,52.96557999
1695,53.08395004
1694,53.00331879
1693,53.0381012
1692,53.02841187
1691,53.05063248
1690,52.97683334
1689,53.02139664
1688,53.02811432
1687,52.96582413
1686,53.0198822
1685,52.99261856
1684,53.00536346
1683,52.98075867
1682,52.97526169
1681,53.03643417
1680,52.96939468
1679,53.0027504
1678,53.02131653
1677,52.8999939
1676,52.98228455
1675,52.88722992
1674,53.00537491
1673,52.96391296
1672,52.94913483
1671,52.88349533
1670,52.99116516
1669,52.90869522
