Wafer#1 11.3mils thick EE535,
Wavelength (nm),Abs
1650,1.004806519
1649,1.011216402
1648,1.018788934
1647,1.026263833
1646,1.034154773
1645,1.040187478
1644,1.048354983
1643,1.055383086
1642,1.063165069
1641,1.072078347
1640,1.079890251
1639,1.088004231
1638,1.096057057
1637,1.104319096
1636,1.112532854
1635,1.121592522
1634,1.130311012
1633,1.1396029
1632,1.149689198
1631,1.158261061
1630,1.168238878
1629,1.177271485
1628,1.187147021
1627,1.197869778
1626,1.206347942
1625,1.215907335
1624,1.226366639
1623,1.237254262
1622,1.24814415
1621,1.258916974
1620,1.269902587
1619,1.282646179
1618,1.292196512
1617,1.305176616
1616,1.317609668
1615,1.331607699
1614,1.344232202
1613,1.356743813
1612,1.370245457
1611,1.382644773
1610,1.396417022
1609,1.411522627
1608,1.426364183
1607,1.442575216
1606,1.458835125
1605,1.477007508
1604,1.491937757
1603,1.508600116
1602,1.525825858
1601,1.544922709
1600,1.562654614
1599,1.582865834
1598,1.600533366
1597,1.621315479
1596,1.638995767
1595,1.663089514
1594,1.685637712
1593,1.704817772
1592,1.732521415
1591,1.755764842
1590,1.786152244
1589,1.810379386
1588,1.834201932
1587,1.864025235
1586,1.895519257
1585,1.921973705
1584,1.962318897
1583,1.99336493
1582,2.028494358
1581,2.069735765
1580,2.101402283
1579,2.14111805
1578,2.189971447
1577,2.24277854
1576,2.290761948
1575,2.336215258
1574,2.406184196
1573,2.453816175
1572,2.50270915
1571,2.573869467
1570,2.689951658
1569,2.740194798
1568,2.789453983
1567,2.915155411
1566,3.025698662
1565,3.126224756
1564,3.276144028
1563,3.431979179
1562,3.421231985
1561,3.622707844
1560,3.734729528
1559,4.49825716
1558,3.883578539
1557,4.216330051
1556,3.983577967
1555,4.117181778
1554,4.244801521
1553,3.815839052
1552,10
1551,4.267313957
1550,3.768467188
