"Wavelength (nm)", "Transmittance (%)"
640.89, 0.046
641.62, -0.007
642.34, -0.012
643.07, -0.06
643.79, -0.045
644.51, 0.002
645.24, 0.098
645.96, 0.155
646.69, 0.193
647.41, 0.25
648.13, 0.322
648.86, 0.379
649.58, 0.418
650.3, 0.451
651.03, 0.467
651.75, 0.47
652.47, 0.476
653.2, 0.459
653.92, 0.471
654.64, 0.52
655.37, 0.524
656.09, 0.536
656.81, 0.527
657.53, 0.542
658.26, 0.523
658.98, 0.624
659.7, 0.613
660.42, 0.665
661.15, 0.744
661.87, 0.772
662.59, 0.688
663.31, 0.68
664.03, 0.713
664.76, 0.687
665.48, 0.707
666.2, 0.712
666.92, 0.76
667.64, 0.708
668.37, 0.727
669.09, 0.656
669.81, 0.675
670.53, 0.656
671.25, 0.722
671.97, 0.693
672.69, 0.717
673.41, 0.703
674.13, 0.72
674.86, 0.7
675.58, 0.731
676.3, 0.757
677.02, 0.779
677.74, 0.783
678.46, 0.755
679.18, 0.736
679.9, 0.737
680.62, 0.748
681.34, 0.718
682.06, 0.727
682.78, 0.724
683.5, 0.634
684.22, 0.568
684.94, 0.575
685.66, 0.578
686.38, 0.553
687.1, 0.573
687.82, 0.607
688.54, 0.593
689.26, 0.561
689.98, 0.573
690.7, 0.596
691.42, 0.604
692.13, 0.587
692.85, 0.611
693.57, 0.596
694.29, 0.555
695.01, 0.532
695.73, 0.552
696.45, 0.56
697.17, 0.572
697.88, 0.619
698.6, 0.638
699.32, 0.645
700.04, 0.666
700.76, 0.667
701.48, 0.642
702.19, 0.621
702.91, 0.613
703.63, 0.601
704.35, 0.594
705.07, 0.585
705.78, 0.591
706.5, 0.612
707.22, 0.622
707.94, 0.622
708.65, 0.619
709.37, 0.629
710.09, 0.628
710.81, 0.622
711.52, 0.62
712.24, 0.627
712.96, 0.635
713.67, 0.625
714.39, 0.619
715.11, 0.627
715.82, 0.642
716.54, 0.637
717.26, 0.632
717.97, 0.634
718.69, 0.666
719.41, 0.716
720.12, 0.765
720.84, 0.825
721.55, 0.888
722.27, 0.959
722.99, 1.001
723.7, 1.009
724.42, 1.016
725.13, 1.025
725.85, 1.022
726.56, 1.017
727.28, 1.023
727.99, 1.037
728.71, 1.065
729.43, 1.104
730.14, 1.139
730.86, 1.189
731.57, 1.251
732.29, 1.319
733, 1.38
733.71, 1.424
734.43, 1.463
735.14, 1.573
735.86, 1.736
736.57, 2.009
737.29, 2.422
738, 3.024
738.72, 3.869
739.43, 5.003
740.14, 6.432
740.86, 8.228
741.57, 10.314
742.29, 12.703
743, 15.385
743.71, 18.325
744.43, 21.41
745.14, 24.546
745.85, 27.644
746.57, 30.764
747.28, 33.764
747.99, 36.62
748.71, 39.299
749.42, 41.816
750.13, 44.142
750.85, 46.299
751.56, 48.278
752.27, 50.077
752.99, 51.721
753.7, 53.214
754.41, 54.531
755.12, 55.724
755.84, 56.787
756.55, 57.699
757.26, 58.565
757.97, 59.242
758.68, 59.891
759.4, 60.528
760.11, 61.093
760.82, 61.575
761.53, 62.053
762.24, 62.504
762.96, 62.889
763.67, 63.198
764.38, 63.428
765.09, 63.637
765.8, 63.884
766.51, 64.148
767.22, 64.31
767.94, 64.588
768.65, 64.834
769.36, 65.095
770.07, 65.342
770.78, 65.566
771.49, 65.648
772.2, 65.82
772.91, 65.951
773.62, 66.026
774.33, 66.088
775.04, 66.186
775.75, 66.299
776.46, 66.435
777.17, 66.563
777.88, 66.668
778.59, 66.806
779.3, 66.961
780.01, 67.107
780.72, 67.155
781.43, 67.237
782.14, 67.322
782.85, 67.376
783.56, 67.411
784.27, 67.431
784.98, 67.47
785.69, 67.553
786.4, 67.616
787.11, 67.682
787.82, 67.758
788.53, 67.863
789.24, 68.015
789.95, 68.083
790.65, 68.121
791.36, 68.213
792.07, 68.252
792.78, 68.273
793.49, 68.341
794.2, 68.356
794.91, 68.373
795.61, 68.443
796.32, 68.506
797.03, 68.563
797.74, 68.596
798.45, 68.61
799.15, 68.637
799.86, 68.672
800.57, 68.738
801.28, 68.789
801.98, 68.821
802.69, 68.852
803.4, 68.907
804.11, 68.945
804.81, 68.959
805.52, 68.979
806.23, 69.014
806.94, 69.041
807.64, 69.082
808.35, 69.143
809.06, 69.187
809.76, 69.231
810.47, 69.336
811.18, 69.424
811.88, 69.468
812.59, 69.517
813.3, 69.535
814, 69.571
814.71, 69.649
815.42, 69.701
816.12, 69.692
816.83, 69.696
817.53, 69.711
818.24, 69.726
818.94, 69.75
819.65, 69.73
820.36, 69.723
821.06, 69.734
821.77, 69.756
822.47, 69.781
823.18, 69.816
823.88, 69.86
824.59, 69.923
825.29, 69.996
826, 70.072
826.7, 70.132
827.41, 70.182
828.11, 70.204
828.82, 70.19
829.52, 70.21
830.23, 70.25
830.93, 70.266
