sample1,
Wavelength (nm),%T
1274,60.93693542
1273,60.22597122
1272,59.49155045
1271,58.85582733
1270,58.15770721
1269,57.36738968
1268,56.48706055
1267,55.71209335
1266,54.91120148
1265,53.98491669
1264,53.17220688
1263,52.22548294
1262,51.53783035
1261,50.5997963
1260,49.80632782
1259,48.94919586
1258,48.15393829
1257,47.28946686
1256,46.5135498
1255,45.68579483
1254,44.88415146
1253,44.16244888
1252,43.4201622
1251,42.64795303
1250,41.92137909
1249,41.20877838
1248,40.47499466
1247,39.92705536
1246,39.23996353
1245,38.58689499
1244,38.00060654
1243,37.41695023
1242,36.84147263
1241,36.22845078
1240,35.80472946
1239,35.25668335
1238,34.78162003
1237,34.39901352
1236,33.87445831
1235,33.38379669
1234,32.9904747
1233,32.61973572
1232,32.33388138
1231,31.88472748
1230,31.61941147
1229,31.25840378
1228,30.97894287
1227,30.71296883
1226,30.34441185
1225,30.22194862
1224,29.91506958
1223,29.67762566
1222,29.54017448
1221,29.33150864
1220,29.14565849
1219,29.06661606
1218,28.9382019
1217,28.82263565
1216,28.68604279
1215,28.65104103
1214,28.51874542
1213,28.48247337
1212,28.40488052
1211,28.41264915
1210,28.44365883
1209,28.39242554
1208,28.43519402
1207,28.48380852
1206,28.58349419
1205,28.56934357
1204,28.76443863
1203,28.85384178
1202,28.92729568
1201,29.02719116
1200,29.23836327
1199,29.43999481
1198,29.57896614
1197,29.79874039
1196,29.96736717
1195,30.23456001
1194,30.4748497
1193,30.81142807
1192,31.07650566
1191,31.44562912
1190,31.75775146
1189,32.12844467
1188,32.54357147
1187,32.97110367
1186,33.35488892
1185,33.79438019
1184,34.3007431
1183,34.81259155
1182,35.31170654
1181,35.90193939
1180,36.40158844
1179,37.08771133
1178,37.67213058
1177,38.35772705
1176,39.10032654
1175,39.78029251
1174,40.47858429
1173,41.32215881
1172,42.12182617
1171,42.79862213
1170,43.80700302
1169,44.65390396
1168,45.47451782
1167,46.41846848
1166,47.32620621
1165,48.35021973
1164,49.32179642
1163,50.27985001
1162,51.29356384
1161,52.35623169
1160,53.33774567
1159,54.44113541
1158,55.44579697
1157,56.59455109
1156,57.51689529
1155,58.50546265
1154,59.53624344
1153,60.46895218
1152,61.46023178
1151,62.44062042
1150,63.27666092
1149,64.04031372
1148,64.77042389
1147,65.465065
1146,66.17754364
1145,66.82498169
1144,67.18018341
1143,67.5745163
1142,67.97750854
1141,68.35991669
1140,68.52742004
1139,68.68279266
1138,68.51965332
1137,68.54402161
1136,68.31257629
1135,68.11870575
1134,67.7703476
1133,67.37983704
1132,66.97621918
1131,66.40477753
1130,65.93953705
1129,65.20597076
1128,64.55158234
1127,63.7939682
1126,63.04051208
1125,62.22855377
1124,61.30900574
1123,60.51189804
1122,59.6473465
1121,58.68427658
1120,57.79364014
1119,56.83995056
1118,55.99424744
1117,55.01058197
1116,54.07965088
1115,53.29144669
1114,52.29819489
1113,51.36500549
1112,50.58021545
1111,49.62770844
1110,48.83610535
1109,48.104496
1108,47.25595856
1107,46.48906708
1106,45.74460983
1105,45.0005722
1104,44.36929321
1103,43.73545074
1102,42.93785095
1101,42.41345978
1100,41.74045944
1099,41.23701096
1098,40.73455811
1097,40.18180847
1096,39.73419189
1095,39.28675842
1094,38.82183075
1093,38.55573273
1092,38.08158493
