"Wavelength, µm","n"
0.67817773,2.35427
0.67977094,2.3534
0.68136414,2.35254
0.6829573,2.35169
0.68455035,2.35084
0.6861434,2.35001
0.68773627,2.34919
0.6893292,2.34838
0.690922,2.34757
0.6925148,2.34677
0.69410754,2.34599
0.6957002,2.34521
0.6972928,2.34444
0.6988854,2.34367
0.70047784,2.34292
0.7020702,2.34217
0.7036626,2.34143
0.7052549,2.3407
0.7068471,2.33998
0.70843933,2.33926
0.7100314,2.33855
0.7116234,2.33785
0.71321545,2.33716
0.7148073,2.33647
0.71639923,2.33579
0.71799097,2.33512
0.7195827,2.33445
0.7211744,2.33379
0.722766,2.33313
0.7243575,2.33249
0.7259489,2.33185
0.72754034,2.33121
0.72913165,2.33058
0.7307229,2.32996
0.7323141,2.32934
0.7339052,2.32873
0.7354963,2.32813
0.7370873,2.32753
0.73867816,2.32694
0.740269,2.32635
0.74185974,2.32577
0.7434505,2.32519
0.74504114,2.32462
0.7466317,2.32405
0.74822217,2.32349
0.7498126,2.32294
0.75140295,2.32239
0.7529932,2.32184
0.7545834,2.3213
0.7561735,2.32077
0.75776355,2.32024
0.7593536,2.31971
0.7609435,2.31919
0.76253326,2.31867
0.764123,2.31816
0.7657127,2.31766
0.7673023,2.31715
0.7688918,2.31665
0.77048126,2.31616
0.7720706,2.31567
0.7736599,2.31519
0.77524915,2.31471
0.77683826,2.31423
0.7784273,2.31376
0.7800163,2.31329
0.78160516,2.31283
0.783194,2.31236
0.7847828,2.31191
0.7863714,2.31146
0.78795996,2.31101
0.78954846,2.31056
0.79113684,2.31012
0.7927252,2.30969
0.7943135,2.30925
0.7959016,2.30882
0.7974897,2.3084
0.7990777,2.30797
0.80066565,2.30755
0.8022534,2.30714
0.8038412,2.30673
0.80542883,2.30632
0.8070164,2.30591
0.8086039,2.30551
0.8101913,2.30511
0.8117786,2.30472
0.81336584,2.30432
0.814953,2.30394
0.81654004,2.30355
0.818127,2.30317
0.81971387,2.30279
0.82130066,2.30241
0.8228874,2.30204
0.824474,2.30167
0.82606055,2.3013
0.827647,2.30094
0.8292333,2.30057
0.8308195,2.30021
0.83240564,2.29986
0.8339918,2.29951
0.83557776,2.29916
0.8371636,2.29881
0.8387494,2.29846
0.8403351,2.29812
0.8419207,2.29778
0.8435062,2.29745
0.8450916,2.29711
0.84667694,2.29678
0.8482622,2.29645
0.8498473,2.29613
0.8514323,2.2958
0.8530173,2.29548
0.8546022,2.29516
0.8561868,2.29485
0.8577715,2.29453
0.8593561,2.29422
0.86094055,2.29391
0.8625249,2.2936
0.8641091,2.2933
0.86569324,2.293
0.86727734,2.2927
0.8688613,2.2924
0.8704451,2.29211
0.87202893,2.29181
0.8736126,2.29152
0.8751961,2.29123
0.8767796,2.29095
0.8783629,2.29066
0.87994617,2.29038
0.8815293,2.2901
0.8831123,2.28982
0.8846953,2.28955
0.88627814,2.28927
0.88786084,2.289
0.8894435,2.28873
0.891026,2.28847
0.8926084,2.2882
0.89419073,2.28794
0.89577295,2.28767
0.8973551,2.28741
0.898937,2.28716
0.9005189,2.2869
0.9021007,2.28665
0.9036823,2.28639
0.905264,2.28614
0.9068454,2.2859
0.90842676,2.28565
0.91000793,2.2854
0.91158905,2.28516
0.9131701,2.28492
0.914751,2.28468
0.9163317,2.28444
0.9179125,2.28421
0.91949304,2.28397
0.92107355,2.28374
0.9226538,2.28351
0.9242341,2.28328
0.92581415,2.28305
0.9273942,2.28283
0.9289741,2.2826
0.9305539,2.28238
0.9321335,2.28216
0.9337131,2.28194
0.9352925,2.28172
0.9368719,2.2815
0.93845105,2.28129
0.9400301,2.28108
0.9416091,2.28086
0.943188,2.28065
0.9447667,2.28044
0.94634534,2.28024
0.9479238,2.28003
0.94950214,2.27983
0.95108044,2.27962
0.95265857,2.27942
0.95423663,2.27922
0.9558146,2.27902
0.9573923,2.27883
0.9589699,2.27863
0.9605475,2.27844
0.9621249,2.27824
0.9637023,2.27805
0.9652794,2.27786
0.96685645,2.27767
0.9684334,2.27749
0.97001013,2.2773
0.9715868,2.27711
0.9731634,2.27693
0.97473987,2.27675
0.9763161,2.27657
0.9778923,2.27639
0.9794684,2.27621
0.9810443,2.27603
0.9826201,2.27586
0.9841958,2.27568
0.98577136,2.27551
0.9873468,2.27534
0.98892206,2.27516
0.99049725,2.27499
0.99207227,2.27482
0.99364716,2.27466
0.995222,2.27449
0.9967967,2.27433
0.9983712,2.27416
0.9999455,2.274
1.01169275,2.27282
1.015112,2.27249
1.01853125,2.27216
1.0219505,2.27184
1.0253698,2.27152
1.028789,2.27121
1.0322083,2.2709
1.0356274,2.27059
1.0390466,2.2703
1.042466,2.27
1.0458853,2.26971
1.0493044,2.26942
1.0527238,2.26914
1.0561431,2.26887
1.0595623,2.26859
1.0629817,2.26832
1.066401,2.26806
1.0698203,2.2678
1.0732396,2.26754
1.0766589,2.26729
1.0800784,2.26704
1.0834978,2.26679
1.0869172,2.26655
1.0903368,2.26631
1.0937562,2.26608
1.0971758,2.26585
1.1005955,2.26562
1.104015,2.2654
1.1074347,2.26517
1.1108542,2.26496
1.114274,2.26474
1.1176937,2.26453
1.1211135,2.26433
1.1245334,2.26412
1.1279534,2.26392
1.1313733,2.26372
1.1347932,2.26353
1.1382133,2.26334
1.1416334,2.26315
1.1450535,2.26296
1.1484738,2.26278
1.151894,2.2626
1.1553143,2.26242
1.1587347,2.26225
1.1621552,2.26208
1.1655757,2.26191
1.1689963,2.26175
1.1724169,2.26158
1.1758376,2.26142
1.1792584,2.26126
1.1826793,2.26111
1.1861002,2.26096
1.1895212,2.26081
1.1929423,2.26066
1.1963635,2.26052
1.1997848,2.26037
1.203206,2.26023
1.2066276,2.2601
1.2100491,2.25996
1.2134706,2.25983
1.2168923,2.2597
1.2203141,2.25957
1.223736,2.25944
1.227158,2.25932
1.23058,2.2592
1.2340022,2.25908
1.2374244,2.25896
1.2408468,2.25885
1.2442693,2.25874
1.2476918,2.25863
1.2511145,2.25852
1.2545374,2.25841
1.2579602,2.25831
1.2613832,2.2582
1.2648064,2.2581
1.2682296,2.25801
1.271653,2.25791
1.2750764,2.25781
1.2785,2.25772
1.2819237,2.25763
1.2853475,2.25754
1.2887715,2.25746
1.2921956,2.25737
1.2956199,2.25729
1.2990442,2.25721
1.3024686,2.25713
1.3058933,2.25705
1.3093181,2.25697
1.3127429,2.2569
1.316168,2.25683
1.3195931,2.25676
1.3230184,2.25669
1.326444,2.25662
1.3298695,2.25655
1.3332953,2.25649
1.3367212,2.25643
1.3401472,2.25637
1.3435735,2.25631
1.3469999,2.25625
1.3504264,2.25619
1.353853,2.25614
1.3572799,2.25609
1.3607068,2.25603
1.364134,2.25598
1.3675613,2.25594
1.3709889,2.25589
1.3744165,2.25584
1.3778444,2.2558
1.3812723,2.25576
1.3847004,2.25572
1.3881289,2.25568
1.3915574,2.25564
1.3949861,2.2556
1.3984149,2.25556
1.401844,2.25553
1.4052732,2.2555
1.4087028,2.25547
1.4121323,2.25544
1.4155621,2.25541
1.4189921,2.25538
1.4224222,2.25535
1.4258527,2.25533
1.4292832,2.2553
1.4327141,2.25528
1.436145,2.25526
1.4395762,2.25524
1.4430076,2.25522
1.4464391,2.25521
1.4498708,2.25519
1.4533029,2.25517
1.4567351,2.25516
1.4601675,2.25515
1.4636001,2.25514
1.467033,2.25513
1.470466,2.25512
1.4738992,2.25511
1.4773328,2.2551
1.4807664,2.2551
1.4842003,2.25509
1.4876345,2.25509
1.4910688,2.25509
1.4945034,2.25509
1.4979382,2.25509
