sample1,,
Wavelength (nm),%T,
1522,34.88277435,
1521,35.17242432,
1520,35.42211914,
1519,35.54672241,
1518,35.88983536,
1517,36.14549255,
1516,36.24940491,
1515,36.58889771,
1514,36.79502487,
1513,37.04647064,
1512,37.22754669,
1511,37.51911926,
1510,37.816082,
1509,38.05286789,
1508,38.31568527,
1507,38.5393486,
1506,38.80683899,
1505,39.03818512,
1504,39.38684845,
1503,39.58647919,
1502,39.81919098,
1501,40.17398834,
1500,40.35171127,
1499,40.64524078,
1498,40.90054703,
1497,41.21027756,
1496,41.43440247,
1495,41.75289917,
1494,42.07982254,
1493,42.22026443,
1492,42.58036423,
1491,42.84725189,
1490,43.13428879,
1489,43.37788391,
1488,43.64963531,
1487,43.97601318,
1486,44.21718597,
1485,44.51264572,
1484,44.76057816,
1483,45.14068604,
1482,45.37619019,
1481,45.72750473,
1480,46.0283165,
1479,46.29637146,
1478,46.50009155,
1477,46.86110687,
1476,47.13848877,
1475,47.46446228,
1474,47.76418686,
1473,48.05571365,
1472,48.31226349,
1471,48.61264038,
1470,48.93953705,
1469,49.21776199,
1468,49.54536057,
1467,49.80571365,
1466,50.08504868,
1465,50.41884613,
1464,50.68098831,
1463,51.00233078,
1462,51.28385925,
1461,51.6246376,
1460,51.91905594,
1459,52.22596359,
1458,52.53988647,
1457,52.81507492,
1456,53.11843872,
1455,53.37594604,
1454,53.63796997,
1453,54.05924225,
1452,54.28554916,
1451,54.62784195,
1450,54.88284302,
1449,55.24176407,
1448,55.48564148,
1447,55.71105957,
1446,56.06554031,
1445,56.31394196,
1444,56.70227432,
1443,56.93431473,
1442,57.30877686,
1441,57.52888489,
1440,57.81745911,
1439,58.1901741,
1438,58.43011856,
1437,58.65134048,
1436,58.88830948,
1435,59.27897263,
1434,59.58236313,
1433,59.73999405,
1432,60.06733322,
1431,60.34514236,
1430,60.68000793,
1429,60.91680527,
1428,61.18385315,
1427,61.47779846,
1426,61.723423,
1425,61.8998642,
1424,62.21075821,
1423,62.47628403,
1422,62.81603622,
1421,62.94451523,
1420,63.19207001,
1419,63.37581253,
1418,63.57445526,
1417,63.90818787,
1416,64.13840485,
1415,64.354599,
1414,64.65802002,
1413,64.8582077,
1412,65.01583862,
1411,65.25190735,
1410,65.46122742,
1409,65.67868805,
1408,65.99138641,
1407,66.12890625,
1406,66.26356506,
1405,66.4870224,
1404,66.71775818,
1403,66.89535522,
1402,67.03572083,
1401,67.25054169,
1400,67.44522095,
1399,67.66026306,
1398,67.77913666,
1397,67.96243286,
1396,68.12456512,
1395,68.33837128,
1394,68.4729538,
1393,68.69841003,
1392,68.80123138,
1391,68.98410034,
1390,69.1272049,
1389,69.20722198,
1388,69.28390503,
1387,69.44444275,
1386,69.51557159,
1385,69.63301086,
1384,69.81685638,
1383,69.91184235,
1382,70.01016998,
1381,70.07513428,
1380,70.25724792,
1379,70.36595154,
1378,70.43710327,
1377,70.46349335,
1376,70.6443634,
1375,70.69882965,
1374,70.75534058,
1373,70.74378967,
1372,70.82862854,
1371,70.9105835,
1370,71.01929474,
1369,71.03772736,
1368,71.12757111,
1367,71.23004913,
1366,71.19003296,
1365,71.16139221,
1364,71.27159119,
1363,71.23148346,
1362,71.29829407,
1361,71.34134674,
1360,71.21892548,
1359,71.40962982,
1358,71.4076767,
1357,71.32319641,
1356,71.37106323,
1355,71.32830811,
1354,71.40640259,
1353,71.34755707,
1352,71.32264709,
1351,71.31912994,
1350,71.31834412,
1349,71.24668121,
1348,71.24247742,
1347,71.1831131,
1346,71.15329742,
1345,71.15229034,
1344,71.17082214,
1343,71.04959869,
1342,70.94091797,
1341,71.0951767,
1340,70.99935913,
1339,70.88938141,
1338,70.92150879,
1337,70.76082611,
1336,70.70629883,
1335,70.65620422,
1334,70.57511902,
1333,70.63912964,
1332,70.44782257,
1331,70.28127289,
1330,70.37017822,
1329,70.21014404,
1328,70.19650269,
1327,70.03177643,
1326,70.05523682,
1325,69.93357086,
1324,69.75424194,
1323,69.74491119,
1322,69.56050873,
1321,69.50671387,
1320,69.48912811,
1319,69.31369019,
1318,69.32764435,
1317,69.15698242,
1316,69.09867859,
1315,68.94380188,
1314,68.8875351,
1313,68.78901672,
1312,68.68655396,
1311,68.62510681,
1310,68.49900055,
1309,68.30437469,
1308,68.27963257,
1307,68.15254974,
1306,68.04762268,
1305,67.95316315,
1304,67.78607178,
1303,67.71956635,
1302,67.63252258,
1301,67.47049713,
1300,67.47637177,
1299,67.19713593,
1298,67.19634247,
1297,67.0812912,
1296,66.9670105,
1295,66.84187317,
1294,66.78144836,
1293,66.61107635,
1292,66.48156738,
1291,66.36000824,
1290,66.251091,
1289,66.13121796,
1288,66.02706909,
1287,65.91811371,
1286,65.82054138,
1285,65.68333435,
1284,65.60522461,
1283,65.48378754,
1282,65.39556122,
1281,65.22277069,
1280,65.08929443,
1279,65.02779388,
1278,64.90723419,
1277,64.74905396,
1276,64.68580627,
1275,64.56824493,
1274,64.4561615,
1273,64.3197937,
1272,64.1673584,
1271,64.03747559,
1270,63.93769455,
1269,64.00593567,
1268,63.8237648,
1267,63.55899429,
1266,63.51004791,
1265,63.43997574,
1264,63.37734985,
1263,63.33327484,
1262,63.27118683,
1261,62.98109436,
1260,62.8999939,
1259,62.86646271,
1258,62.66625977,
1257,62.60751343,
1256,62.57956696,
1255,62.43632507,
1254,62.32105637,
1253,62.20041656,
1252,62.07352829,
1251,62.05904388,
