Reflectance thin film,
Wavelength (nm),%R
2091,44.86184311
2090,44.65746307
2089,44.42247391
2088,44.11933899
2087,43.88302231
2086,43.5912056
2085,43.33135605
2084,43.09296799
2083,42.8449173
2082,42.58900452
2081,42.33699036
2080,42.00166702
2079,41.79247665
2078,41.50055313
2077,41.20218277
2076,40.94561768
2075,40.68745422
2074,40.39024734
2073,40.05931854
2072,39.82291794
2071,39.46649551
2070,39.19322968
2069,38.90862274
2068,38.59368134
2067,38.30152893
2066,38.01369476
2065,37.71921539
2064,37.35576248
2063,37.10910797
2062,36.8143158
2061,36.5007782
2060,36.11405945
2059,35.91936874
2058,35.53861237
2057,35.21393967
2056,34.88563156
2055,34.58591461
2054,34.25401306
2053,33.8960228
2052,33.56360626
2051,33.27349854
2050,32.89188385
2049,32.59077835
2048,32.25715256
2047,31.93659782
2046,31.57084274
2045,31.22157097
2044,30.8840065
2043,30.55865479
2042,30.24886322
2041,29.90056801
2040,29.52262497
2039,29.20826912
2038,28.88633537
2037,28.51840591
2036,28.17232513
2035,27.85976601
2034,27.49044609
2033,27.16858101
2032,26.79039192
2031,26.44355392
2030,26.13101959
2029,25.78809547
2028,25.39164162
2027,25.10331917
2026,24.79497337
2025,24.39887238
2024,24.06554413
2023,23.79618263
2022,23.40434837
2021,23.07045174
2020,22.71404648
2019,22.38784981
2018,22.05755043
2017,21.73586845
2016,21.38394356
2015,21.13090706
2014,20.80535889
2013,20.46035385
2012,20.17033005
2011,19.84249878
2010,19.56467247
2009,19.24284744
2008,18.90271759
2007,18.67240715
2006,18.3415699
2005,18.06611633
2004,17.82628822
2003,17.50665283
2002,17.28342247
2001,17.01686287
2000,16.75297546
1999,16.59124184
1998,16.37445641
1997,16.11112785
1996,15.87573147
1995,15.67570686
1994,15.38480186
1993,15.21497345
1992,14.97751904
1991,14.77364445
1990,14.55889606
1989,14.37159634
1988,14.14188194
1987,14.01442909
1986,13.79677486
1985,13.66277313
1984,13.51456928
1983,13.33042717
1982,13.18154144
1981,13.05507469
1980,12.97330379
1979,12.81628895
1978,12.71574306
1977,12.6289053
1976,12.49975395
1975,12.43386078
1974,12.39004707
1973,12.25645828
1972,12.18935299
1971,12.13862133
1970,12.1087923
1969,12.03717995
1968,12.08889008
1967,12.02145767
1966,12.0036087
1965,12.0195837
1964,11.98591042
1963,12.00432968
1962,12.06885529
1961,12.10656834
1960,12.17111397
1959,12.16315746
1958,12.25124454
1957,12.31585789
1956,12.41335297
1955,12.51264954
1954,12.59900761
1953,12.7040844
1952,12.77725697
1951,12.888834
1950,12.99928284
1949,13.17834568
1948,13.30070305
1947,13.48296356
1946,13.63350105
1945,13.79035854
1944,13.97702217
1943,14.20287514
1942,14.3038187
1941,14.54608631
1940,14.77021408
1939,14.97070026
1938,15.20274734
1937,15.43616199
1936,15.62774181
1935,15.88903618
1934,16.13540268
1933,16.37450409
1932,16.64087105
1931,16.91782379
1930,17.1514225
1929,17.40997124
1928,17.68511772
1927,18.04020882
1926,18.26901817
1925,18.58276367
1924,18.86733437
1923,19.17389488
1922,19.49908066
1921,19.79883385
1920,20.10344887
1919,20.45202255
1918,20.74449158
1917,21.10605431
1916,21.39357948
1915,21.77668762
1914,22.07852745
1913,22.41051102
1912,22.82911682
1911,23.13642502
1910,23.52314949
1909,23.87850189
1908,24.21134949
1907,24.56722641
1906,24.93536377
1905,25.33417702
1904,25.73155212
1903,26.02606392
1902,26.43190384
1901,26.8194828
1900,27.16542816
1899,27.52120209
1898,27.93051338
1897,28.31496048
1896,28.69078445
1895,29.0803051
1894,29.40035248
1893,29.86713409
1892,30.1876297
1891,30.51037788
1890,30.92014503
1889,31.26484489
1888,31.64167023
1887,32.0255394
1886,32.38886642
1885,32.75106812
1884,33.13885498
1883,33.47680664
1882,33.86677933
1881,34.18001556
1880,34.48939133
1879,34.87184143
1878,35.20850372
1877,35.60984421
1876,35.90602112
1875,36.30085754
1874,36.67085648
1873,37.00596237
1872,37.42050171
1871,37.7767601
1870,38.1005249
1869,38.51894379
1868,38.88089371
1867,39.27851105
1866,39.62471771
1865,39.95793915
1864,40.26829147
1863,40.59909439
1862,40.92035675
1861,41.2064743
1860,41.51909256
1859,41.8885994
1858,42.18159866
1857,42.54244995
1856,42.81986237
1855,43.16465378
1854,43.42123413
1853,43.77531052
1852,44.05392838
1851,44.3993454
1850,44.66578293
1849,45.0552597
1848,45.30303955
1847,45.58010101
1846,45.90340424
1845,46.14691544
1844,46.50369263
1843,46.71870041
1842,47.06716537
1841,47.31480026
1840,47.56684875
1839,47.85785675
1838,48.17790985
1837,48.43605042
1836,48.73973846
1835,49.00991058
1834,49.21934891
1833,49.46988678
1832,49.73820877
1831,50.00984192
1830,50.23692703
1829,50.50868988
1828,50.73843002
1827,50.97383881
1826,51.1739006
1825,51.40719986
1824,51.59999847
1823,51.91792297
1822,52.04933929
1821,52.26847076
1820,52.49383926
1819,52.73015594
1818,52.92504501
1817,53.11925507
1816,53.32515717
1815,53.54449081
1814,53.71195602
1813,53.95003128
1812,54.08188629
1811,54.2712822
1810,54.44108963
1809,54.62879562
1808,54.86645508
1807,55.0348053
1806,55.16326904
1805,55.34106445
1804,55.44313049
1803,55.67917633
1802,55.82070923
1801,56.0130043
1800,56.11209869
1799,56.27568436
1798,56.46988297
1797,56.54424286
1796,56.65804291
1795,56.84205246
1794,56.98922729
1793,57.10245514
1792,57.21186447
1791,57.39945602
1790,57.46303177
1789,57.60661316
1788,57.72455978
1787,57.83244324
1786,57.96046448
1785,58.03409195
1784,58.17680359
1783,58.25424957
1782,58.39144135
1781,58.44685364
1780,58.58970261
1779,58.63978195
1778,58.67528152
1777,58.78067017
1776,58.8346405
1775,58.97359848
1774,59.02106094
1773,59.12697983
1772,59.17527771
1771,59.18689346
1770,59.24794006
1769,59.34028625
1768,59.3915062
1767,59.42862701
1766,59.47710419
1765,59.54597092
1764,59.59585953
1763,59.60910797
1762,59.6561203
1761,59.71617126
1760,59.72619629
1759,59.75165558
1758,59.77061462
1757,59.81800461
1756,59.84626389
1755,59.8177681
1754,59.83031464
1753,59.89062881
1752,59.87306976
1751,59.87322998
1750,59.8863678
1749,59.86435318
1748,59.80959702
1747,59.89457321
1746,59.85568619
1745,59.85423279
1744,59.74516296
1743,59.73307419
1742,59.77880859
