sample2,,
Wavelength (nm),%T,
1522,52.35004425,
1521,52.47149658,
1520,52.42009735,
1519,52.32997513,
1518,52.42653656,
1517,52.27130127,
1516,52.23957443,
1515,52.24663162,
1514,52.17623901,
1513,52.17370224,
1512,52.09199905,
1511,52.03485489,
1510,51.94135284,
1509,51.96126175,
1508,51.88554001,
1507,51.89592361,
1506,51.81487656,
1505,51.76371765,
1504,51.78197479,
1503,51.5788269,
1502,51.54191971,
1501,51.49610138,
1500,51.38954926,
1499,51.22780609,
1498,51.29497147,
1497,51.12829208,
1496,51.05106735,
1495,51.08318329,
1494,51.03666687,
1493,50.87347031,
1492,50.85570908,
1491,50.77941513,
1490,50.63850403,
1489,50.63378143,
1488,50.43257523,
1487,50.40456009,
1486,50.21678162,
1485,50.17054749,
1484,50.0485611,
1483,50.11100006,
1482,49.90888596,
1481,49.86358261,
1480,49.79925156,
1479,49.67847443,
1478,49.51712036,
1477,49.46070099,
1476,49.4137764,
1475,49.27437592,
1474,49.17737198,
1473,49.02066422,
1472,49.05105591,
1471,48.90537643,
1470,48.77525711,
1469,48.75201035,
1468,48.6187973,
1467,48.54251862,
1466,48.39941788,
1465,48.39661407,
1464,48.17824173,
1463,48.09894562,
1462,48.04417419,
1461,47.95442963,
1460,47.86286163,
1459,47.72846603,
1458,47.67552185,
1457,47.45635986,
1456,47.46188354,
1455,47.36595917,
1454,47.19822311,
1453,47.12150955,
1452,47.07445526,
1451,46.94303131,
1450,46.91571426,
1449,46.87319565,
1448,46.79488373,
1447,46.58302689,
1446,46.50978851,
1445,46.40678024,
1444,46.39624023,
1443,46.24959564,
1442,46.17765427,
1441,46.04529953,
1440,45.99058533,
1439,45.95778656,
1438,45.84981155,
1437,45.77559662,
1436,45.54801941,
1435,45.62195587,
1434,45.55321503,
1433,45.32461166,
1432,45.31314087,
1431,45.20534515,
1430,45.18473434,
1429,45.14002991,
1428,45.0618515,
1427,44.99478149,
1426,44.88215637,
1425,44.77573776,
1424,44.76851654,
1423,44.68054199,
1422,44.66353226,
1421,44.57551193,
1420,44.47095108,
1419,44.30221176,
1418,44.27539444,
1417,44.21945572,
1416,44.24407578,
1415,44.14356232,
1414,44.11615753,
1413,44.0292778,
1412,44.00982666,
1411,43.88162231,
1410,43.86631012,
1409,43.81522369,
1408,43.82326889,
1407,43.68001938,
1406,43.58531952,
1405,43.60801697,
1404,43.55282593,
1403,43.48293304,
1402,43.52121735,
1401,43.45795441,
1400,43.43094254,
1399,43.31601715,
1398,43.316185,
1397,43.31598663,
1396,43.19252014,
1395,43.17533493,
1394,43.15646744,
1393,43.19284439,
1392,43.10777283,
1391,43.11285782,
1390,43.10499191,
1389,43.04276276,
1388,42.99826813,
1387,42.98662567,
1386,42.91172791,
1385,42.95910645,
1384,42.92736435,
1383,42.93201828,
1382,42.86964417,
1381,42.82787704,
1380,42.85715866,
1379,42.93741608,
1378,42.77889633,
1377,42.78168869,
1376,42.834095,
1375,42.83188629,
1374,42.79599762,
1373,42.8178215,
1372,42.8238678,
1371,42.80158234,
1370,42.85607147,
1369,42.80564117,
1368,42.8272438,
1367,42.8191185,
1366,42.82329559,
1365,42.78850937,
1364,42.8604126,
1363,42.84698868,
1362,42.85038757,
1361,42.85707855,
1360,42.84922409,
1359,42.94538498,
1358,42.96171188,
1357,42.99365997,
1356,43.02022934,
1355,43.01307678,
1354,43.06590271,
1353,43.08194351,
1352,43.04947662,
1351,43.1061554,
1350,43.16363525,
1349,43.11840057,
1348,43.18909836,
1347,43.26042938,
1346,43.25740814,
1345,43.32320404,
1344,43.30683517,
1343,43.3766098,
1342,43.38830185,
1341,43.53003311,
1340,43.59555817,
1339,43.53501129,
1338,43.66756821,
1337,43.67174911,
1336,43.6877594,
1335,43.76901627,
1334,43.76824188,
1333,43.93198013,
1332,43.91973495,
1331,43.94255066,
1330,44.13076401,
1329,44.14489365,
1328,44.19119644,
1327,44.26422882,
1326,44.26695251,
1325,44.42145538,
1324,44.41758347,
1323,44.54013824,
1322,44.54998779,
1321,44.69432068,
1320,44.73651505,
1319,44.78117371,
1318,44.94695282,
1317,45.00333023,
1316,45.1362114,
1315,45.16053009,
1314,45.22600555,
1313,45.38856888,
1312,45.44142532,
1311,45.54766846,
1310,45.7038269,
1309,45.67181015,
1308,45.75598526,
1307,45.90688705,
1306,45.96218109,
1305,46.17160034,
1304,46.26160812,
1303,46.39837265,
1302,46.48478317,
1301,46.51004028,
1300,46.67895126,
1299,46.79444885,
1298,46.91174698,
1297,47.03405762,
1296,47.06972504,
1295,47.24916077,
1294,47.3544426,
1293,47.51846313,
1292,47.65554047,
1291,47.75054932,
1290,47.87057495,
1289,47.95368576,
1288,48.12676239,
1287,48.2591362,
1286,48.46398926,
1285,48.60250854,
1284,48.71240234,
1283,48.78397751,
1282,48.9501915,
1281,49.05454636,
1280,49.17928696,
1279,49.3907547,
1278,49.54711914,
1277,49.71014786,
1276,49.83688354,
1275,50.0034523,
1274,50.12197495,
1273,50.23937988,
1272,50.41419983,
1271,50.63315201,
1270,50.83746338,
1269,51.02888489,
1268,51.14796066,
1267,51.24519348,
1266,51.41808319,
1265,51.66638947,
1264,51.82238388,
1263,51.98256302,
1262,52.18946457,
1261,52.34318542,
1260,52.55190659,
1259,52.76483917,
1258,52.82188034,
1257,53.09494019,
1256,53.27241516,
1255,53.41656876,
1254,53.5948143,
1253,53.83446121,
1252,53.92904282,
1251,54.24427795,
1250,54.45517349,
1249,54.5863266,
1248,54.82151413,
1247,55.07358932,
1246,55.20690536,
1245,55.38221741,
1244,55.67267609,
1243,55.83875275,
1242,56.01628494,
1241,56.17240524,
1240,56.49357605,
1239,56.63615417,
1238,56.88365555,
1237,57.0832901,
1236,57.35317993,
1235,57.48986053,
1234,57.64529037,
1233,57.88133621,
1232,58.170681,
1231,58.3784523,
1230,58.59773254,
1229,58.71142578,
1228,59.11989212,
1227,59.34224701,
1226,59.45183563,
1225,59.75664139,
1224,59.88540649,
1223,60.13496017,
1222,60.40794754,
1221,60.59377289,
1220,60.91374207,
1219,61.15112305,
1218,61.37893295,
1217,61.53105545,
1216,61.81029129,
1215,62.00735092,
1214,62.32556534,
1213,62.50068665,
1212,62.79701996,
1211,63.03225708,
1210,63.27927017,
1209,63.54877472,
1208,63.69848251,
1207,63.98865128,
1206,64.26519012,
1205,64.40589905,
1204,64.62687683,
1203,64.91161346,
1202,65.15634918,
1201,65.35267639,
1200,65.64063263,
1199,65.80187988,
1198,65.99171448,
1197,66.20648193,
1196,66.37015533,
1195,66.66892242,
1194,67.01053619,
1193,67.18801117,
1192,67.41192627,
1191,67.66105652,
1190,67.89041901,
1189,68.13665009,
1188,68.36429596,
1187,68.57309723,
1186,68.72238159,
1185,69.05974579,
1184,69.2830658,
1183,69.45894623,
1182,69.75921631,
1181,69.88131714,
1180,70.10379791,
1179,70.29646301,
1178,70.49395752,
1177,70.81977844,
1176,71.03283691,
1175,71.19155884,
1174,71.45956421,
1173,71.57900238,
1172,71.75234985,
1171,72.01116943,
1170,72.09276581,
1169,72.33194733,
1168,72.61798096,
1167,72.85610199,
1166,72.9727478,
1165,73.24143219,
1164,73.31481171,
1163,73.51435852,
1162,73.7960434,
1161,73.86373901,
1160,74.06500244,
1159,74.23082733,
1158,74.44236755,
1157,74.58982849,
1156,74.72358704,
1155,74.87019348,
1154,75.09870911,
1153,75.1847229,
1152,75.34284973,
1151,75.39995575,
1150,75.70860291,
1149,75.73348236,
1148,75.9254303,
1147,76.1091156,
1146,76.24762726,
1145,76.21659851,
1144,76.50569153,
1143,76.5691452,
1142,76.62349701,
1141,76.86405945,
1140,76.90956879,
1139,76.96554565,
1138,77.09758759,
1137,77.26996613,
1136,77.30307007,
1135,77.36663055,
1134,77.4839859,
1133,77.54777527,
1132,77.54325104,
1131,77.74829865,
1130,77.7997818,
1129,77.8637619,
1128,77.86457825,
1127,77.97149658,
1126,77.96419525,
1125,77.98802948,
1124,78.07316589,
1123,78.1341095,
1122,78.24554443,
1121,78.21102142,
1120,78.20361328,
1119,78.24718475,
1118,78.26037598,
1117,78.28149414,
1116,78.37770081,
1115,78.30580902,
1114,78.31677246,
1113,78.33019257,
1112,78.30322266,
1111,78.29964447,
1110,78.29443359,
1109,78.30544281,
1108,78.23490143,
1107,78.27161407,
1106,78.19641876,
1105,78.16416931,
1104,78.12451935,
1103,78.05670929,
1102,78.12005615,
1101,78.0017395,
1100,77.95983124,
1099,77.93115234,
1098,77.94247437,
1097,77.91759491,
1096,77.75293732,
1095,77.74701691,
1094,77.69257355,
1093,77.43269348,
1092,77.45910645,
1091,77.41874695,
1090,77.37345123,
1089,77.34094238,
1088,77.18184662,
1087,77.06820679,
1086,77.06192017,
1085,76.92923737,
1084,76.87788391,
1083,76.8065033,
1082,76.65471649,
1081,76.59606934,
1080,76.50601196,
1079,76.44003296,
1078,76.31777191,
1077,76.14552307,
1076,76.04103851,
1075,75.89234924,
1074,75.8144989,
1073,75.83023071,
1072,75.69445038,
1071,75.49105835,
1070,75.37680054,
1069,75.38279724,
1068,75.22964478,
1067,75.08361816,
1066,74.93891144,
1065,74.84912109,
1064,74.6961441,
1063,74.60832977,
1062,74.58625793,
1061,74.38459015,
1060,74.32646942,
1059,74.21619415,
1058,73.95639801,
1057,74.00275421,
1056,73.81191254,
1055,73.73064423,
1054,73.69831848,
1053,73.45126343,
1052,73.43289948,
1051,73.28291321,
1050,73.16049957,
1049,72.97794342,
1048,72.97250366,
1047,72.81562042,
1046,72.68675232,
1045,72.51888275,
1044,72.45213318,
1043,72.40190887,
1042,72.31187439,
1041,72.23867798,
1040,72.10292053,
1039,72.01950836,
1038,71.91866302,
1037,71.80784607,
1036,71.63742828,
1035,71.57713318,
1034,71.46841431,
1033,71.45974731,
1032,71.29666901,
1031,71.26315308,
1030,71.16938782,
1029,71.04527283,
1028,71.00036621,
1027,70.90930939,
1026,70.7131424,
1025,70.65623474,
1024,70.60848999,
1023,70.6264801,
1022,70.52728271,
1021,70.3975296,
1020,70.33808899,
1019,70.3176651,
1018,70.2678299,
1017,70.13964081,
1016,70.14015961,
1015,69.96762848,
1014,69.94823456,
1013,69.90283966,
1012,69.87091064,
1011,69.76318359,
1010,69.77007294,
1009,69.75753021,
1008,69.65642548,
1007,69.69985199,
1006,69.59907532,
1005,69.49219513,
1004,69.38082123,
1003,69.56414795,
1002,69.4500351,
1001,69.45451355,
1000,69.40564728,
999,69.37859344,
998,69.32672119,
997,69.40473175,
996,69.36366272,
995,69.2736969,
994,69.27047729,
993,69.30850983,
992,69.20119476,
991,69.24384308,
990,69.31158447,
989,69.22177887,
988,69.26118469,
987,69.24505615,
986,69.29623413,
985,69.33424377,
984,69.32033539,
983,69.30259705,
982,69.33494568,
981,69.34441376,
980,69.37652588,
979,69.5002594,
978,69.47344208,
977,69.45123291,
976,69.49127197,
975,69.54093933,
974,69.61094666,
973,69.56733704,
972,69.60082245,
971,69.74116516,
970,69.74066925,
969,69.7036972,
968,69.87129974,
967,69.78108215,
966,69.89649963,
965,69.99401093,
964,70.02677917,
963,70.0476532,
962,70.01758575,
961,70.21453094,
960,70.16836548,
959,70.2124176,
958,70.277565,
957,70.36798096,
956,70.39417267,
955,70.43438721,
954,70.54373169,
953,70.61136627,
952,70.67791748,
951,70.65382385,
950,70.77681732,
949,70.8447876,
948,70.99858856,
947,70.96893311,
946,71.01081085,
945,71.13511658,
944,71.18989563,
943,71.2514801,
942,71.32834625,
941,71.40296936,
940,71.48653412,
939,71.5459137,
938,71.53831482,
937,71.68213654,
936,71.80295563,
935,71.82150269,
934,71.87041473,
933,71.93578339,
932,71.93891907,
931,72.14504242,
930,72.1422348,
929,72.22134399,
928,72.28713226,
927,72.47067261,
926,72.47512054,
925,72.43856812,
924,72.638237,
923,72.66271973,
922,72.75532532,
921,72.8277359,
920,72.8770752,
919,73.00209808,
918,73.09107208,
917,73.03865814,
916,73.20049286,
915,73.20846558,
914,73.27405548,
913,73.33075714,
912,73.45754242,
911,73.51966858,
910,73.69389343,
909,73.65821075,
908,73.75162506,
907,73.77121735,
906,73.79357147,
905,73.96203613,
904,74.06401062,
903,74.06266785,
902,74.0848465,
901,74.22544098,
900,74.3999939,
899,74.35861969,
898,74.52657318,
897,74.54036713,
896,74.54029083,
895,74.65058899,
894,74.75783539,
893,74.80192566,
892,74.93536377,
891,75.07823181,
890,75.03105164,
889,75.16687775,
888,75.16947174,
887,75.40084076,
886,75.37489319,
885,75.45934296,
884,75.56619263,
883,75.64283752,
882,75.70090485,
881,75.81259918,
880,75.90415955,
879,76.02240753,
878,76.14012909,
877,76.20626831,
876,76.24186707,
875,76.41898346,
874,76.47027588,
873,76.55854797,
872,76.70022583,
871,76.72000122,
870,76.86243439,
869,77.0083313,
868,77.03256226,
867,77.14000702,
866,77.32564545,
865,77.42327881,
864,77.41975403,
863,77.50524139,
862,77.70343781,
861,77.80171967,
860,77.9944458,
859,78.00796509,
858,78.17955017,
857,78.23899078,
856,78.32591248,
855,78.44826508,
854,78.5397644,
853,78.6162796,
852,78.64667511,
851,78.75749969,
850,78.86325073,
849,79.11908722,
848,79.05576324,
847,79.12873077,
846,79.3062973,
845,79.37408447,
844,79.39717102,
843,79.49050903,
842,79.56650543,
