Ev,alpha
1.6311476872434252,0.169676536915631,
1.6326727265612329,0.39216625005360584,
1.6342221602659883,0.6182148879292981,
1.6357529566481523,0.8415445057059401,
1.6372866235514885,1.0652929070671462,
1.6388231690576964,1.289461271061242,
1.6403626012788421,1.5140507811667305,
1.6419266719867043,1.7422348280016706,
1.6434719430423776,1.9676761722887193,
1.645020125448587,2.1935422568024876,
1.6465712274407363,2.4198342830153763,
1.6481471659784388,2.6497497409856976,
1.6497041733868225,2.8769033150607584,
1.6512641253920224,3.104486479699972,
1.6528490642296672,3.335715001621452,
1.654414972312722,3.5641671052040067,
1.6559838502899655,3.7930524900131104,
1.6575778667503578,4.025605356597339,
1.6591527520482285,4.25536715621584,
1.660730632828268,4.485565970120263,
1.6623338051224779,4.719454591668864,
1.6639177450554261,4.950537382252946,
1.6655047063533175,5.1820609631901675,
1.6671171135934706,5.417296881460743,
1.6687101864745628,5.649712088192359,
1.6703063069024238,5.882571904973304,
1.6719280291147158,6.119166795078172,
1.67353031416273,6.35292597527453,
1.6751583059294188,6.590435537770446,
1.6767667913806583,6.825099301815101,
1.6783783687332143,7.060214146844345,
1.6800158110441734,7.299102459946312,
1.6816336428686136,7.535129776961725,
1.6832774462041626,7.774946107144785,
1.684901568981328,8.011891218377627,
1.6865517704799087,8.25264098381109,
1.688182220974906,8.490509252964387,
1.6898388580646304,8.732197914077972,
1.6914756733296044,8.970994746731037,
1.6931156625798525,9.210254635690234,
1.694782001108028,9.45335865064601,
1.6964284111192296,9.693555271692048,
1.6981012799608295,9.937612001468722,
1.6997541485140455,10.17875086652333,
1.7014335861324807,10.423765922591485,
1.703116345761068,10.669265630482784,
1.7047789964671105,10.91183162489125,
1.7064683832726826,11.158298179137944,
1.7081375884144108,11.401820407591316,
1.709833641623709,11.649259531027127,
1.711509440035615,11.893743659133406,
1.713212199185574,12.14216111984652,
1.7148946300095438,12.38761285805981,
1.7166041349503647,12.637014469841176,
1.7183170515565105,12.886913813340385,
1.7200095285369845,13.133831196703056,
1.721729251445037,13.384723519295392,
1.7234284601973842,13.63262300848018,
1.7251550300555176,13.88451424037379,
1.7268850628168309,14.136910679133933,
1.7285944686035748,14.386297825214712,
1.7303314100407519,14.639702178520508,
1.7320718456463913,14.89361630002034,
