Ev,alpha
0.7758771392682102,813.5101537143346,
0.7763629734192862,1705.6712263561785,
0.7768494163850879,2598.9502953295596,
0.777336469310721,3493.349463448627,
0.7778241333441657,4388.870838805335,
0.7783124096362838,5285.516534783877,
0.7788012993408291,6183.288670078851,
0.7792908036144564,7082.189368712017,
0.7797809236167297,7982.220760047669,
0.7802716605101322,8883.384978811024,
0.7807630154600756,9785.684165104292,
0.7812549896349087,10689.120464423904,
0.7817475842059269,11593.69602767704,
0.7822408003473817,12499.413011199096,
0.78273463923649,13406.273576771375,
0.7832291020534429,14314.279891636455,
0.783724189981416,15223.434128517983,
0.7842199042065782,16133.738465636037,
0.7847162459181013,17045.195086724823,
0.7852132163081698,17957.806181051536,
0.7857108165719899,18871.573943431955,
0.7862090479077997,19786.500574248843,
0.7867079115168782,20702.588279470336,
0.7872074086035555,21619.839270666707,
0.7877075403752224,22538.255765028764,
0.7882083080423395,23457.83998538484,
0.7887097128184478,24378.59416021942,
0.7892117559201783,25300.52052369225,
0.7897144385672613,26223.621315653203,
0.7902177619825367,27147.898781663505,
0.7907217273919643,28073.355173013406,
0.7912263360246331,28999.99274673895,
0.7917315891127714,29927.813765641768,
0.7922374878917573,30856.82049830677,
0.7927440336001279,31787.015219120774,
0.7932512274795906,32718.40020829183,
0.793759070775032,33650.977751866216,
0.7942675647345292,34584.750141748926,
0.7947767106093591,35519.719675721135,
0.795286509654009,36455.888657459756,
0.7957969631261874,37393.2593965563,
0.7963080722868338,38331.83420853573,
0.7968198384001286,39271.61541487463,
0.7973322627335049,40212.605343022384,
0.7978453465576577,41154.80632641888,
0.7983590911465551,42098.2207045136,
0.7988734977774484,43042.850822786335,
0.7993885677308834,43988.69903276581,
0.7999043022907096,44935.7676920481,
0.800420702744093,45884.05916431872,
0.8009377703815246,46833.57581936987,
0.8014555064968326,47784.320033121854,
0.8019739123871927,48736.294187641935,
0.8024929893531392,49689.5006711646,
0.8030127386985751,50643.94187811157,
0.8035331617307843,51599.62020911183,
0.8040542597604411,52556.538071021205,
0.8045760341016224,53514.697876943275,
0.8050984860718182,54474.10204624967,
0.805621616991943,55434.753004600294,
0.8061454281863459,56396.65318396245,
0.8066699209828238,57359.805022634566,
0.8071950967126302,58324.21096526319,
0.8077209567104886,59289.87346286583,
0.8082475023146024,60256.79497285164,
0.8087747348666667,61224.97795904055,
0.80930265571188,62194.424891686765,
0.8098312661989551,63165.13824749808,
0.8103605676801308,64137.12050965638,
0.8108905615111838,65110.37416784093,
0.8114212490514399,66084.90171824885,
0.8119526316637853,67060.70566361444,
0.812484710714679,68037.78851323342,
0.813017487574164,69016.15278298315,
0.8135509636158793,69995.80099534383,
0.8140851402170717,70976.73567942157,
0.8146200187586071,71958.9593709684,
0.8151556006249836,72942.47461240552,
0.8156918872043422,73927.28395284456,
0.8162288798884793,74913.38994810963,
0.8167665800728591,75900.79516076017,
0.817304989156625,76889.50216011121,
0.8178441085426121,77879.51352225826,
0.8183839396373598,78870.83183009806,
0.818924483851123,79863.45967335138,
0.8194657425978851,80857.39964858466,
0.8200077172953705,81852.65435923543,
0.8205504093650564,82849.22641563136,
0.8210938202321855,83847.11843501567,
0.8216379513257788,84846.33304156968,
0.8221828040786473,85846.87286643474,
0.8227283799274054,86848.74054773618,
0.8232746803124835,87851.93873060681,
0.8238217066781396,88856.4700672084,
0.8243694604724734,89862.33721675747,
0.8249179431474385,90869.5428455479,
0.8254671561588548,91878.0896269728,
0.8260171009664223,92887.98024155106,
0.8265677790337334,93899.2173769488,
0.8271191918282855,94911.80372800422,
0.8276713408214954,95925.74199675117,
0.8282242274887108,96941.0348924438,
0.8287778533092246,97957.68513157964,
0.8293322197662877,98975.69543792517,
0.829887328347122,99995.06854253914,
0.8304431805429336,101015.8071837963,
0.8309997778489276,102037.9141074149,
0.8315571217643194,103061.3920664778,
0.8321152137923491,104086.24382145866,
0.8326740554402956,105112.47214024724,
0.8332336482194892,106140.07979817386,
0.8337939936453261,107169.0695780348,
0.8343550932372814,108199.44427011651,
0.8349169485189225,109231.20667222072,
0.8354795610179246,110264.3595896922,
0.8360429322660823,111298.90583544015,
0.8366070637993251,112334.84822996799,
0.8371719571577313,113372.18960139621,
0.8377376138855407,114410.93278548867,
0.8383040355311697,115451.08062567795,
0.8388712236472261,116492.63597309403,
0.8394391797905215,117535.6016865864,
0.8400079055220867,118579.98063275241,
0.8405774024071865,119625.77568596462,
0.8411476720153326,120672.9897283942,
0.8417187159202987,121721.62565003894,
0.842290535700136,122771.68634875189,
0.8428631329371856,123823.17473026342,
0.8434365092180952,124876.09370821249,
0.8440106661338327,125930.44620417152,
0.8445856052797002,126986.23514767177,
0.8451613282553511,128043.46347623551,
0.8457378366648022,129102.13413539715,
0.8463151321164506,130162.25007873541,
0.8468932162230876,131223.81426789798,
0.847472090601914,132286.82967262994,
0.8480517568745554,133351.2992708017,
0.8486322166670774,134417.22604843765,
0.8492134716100002,135484.61299974145,
0.849795523338314,136553.46312712645,
0.8503783734914954,137623.77944124327,
0.8509620237135209,138695.56496100686,
0.8515464756528847,139768.82271362795,
0.8521317309626117,140843.5557346372,
0.8527177913002751,141919.76706791762,
0.8533046583280111,142997.4597657309,
0.8538923337125346,144076.63688874827,
0.8544808191251551,145157.30150607647,
0.8550701162417932,146239.4566952912,
0.8556602267429952,147323.10554246185,
0.8562511523139503,148408.25114218378,
0.8568428946445059,149494.89659760683,
