Wavelength (nm),A 
2500.0,10.106910709999994,
2499.0,9.972354889999991,
2498.0,9.76808167,
2497.0,9.747131350000004,
2496.0,10.00194931,
2495.0,10.02534104,
2494.0,9.758228309999993,
2493.0,9.606830590000001,
2492.0,9.812549590000003,
2491.0,9.996318819999999,
2490.0,9.832870479999997,
2489.0,9.639167789999988,
2488.0,9.659111019999997,
2487.0,9.85971069,
2486.0,9.888431550000007,
2485.0,9.610874179999996,
2484.0,9.557598119999994,
2483.0,9.75109101000001,
2482.0,9.926998139999995,
2481.0,9.680969239999996,
2480.0,9.487781530000007,
2479.0,9.705036159999992,
2478.0,9.815994259999997,
2477.0,9.696392059999994,
2476.0,9.565494540000003,
2475.0,9.547584540000003,
2474.0,9.775024409999986,
2473.0,9.81319809,
2472.0,9.578132629999999,
2471.0,9.503669739999992,
2470.0,9.670230860000004,
2469.0,9.717021950000003,
2468.0,9.591407770000004,
2467.0,9.417449949999991,
2466.0,9.541008000000005,
2465.0,9.764316559999997,
2464.0,9.545860290000007,
2463.0,9.400329589999998,
2462.0,9.455215449999997,
2461.0,9.604370119999999,
2460.0,9.658458710000005,
2459.0,9.429229739999997,
2458.0,9.349330899999998,
2457.0,9.594886779999996,
2456.0,9.538696279999996,
2455.0,9.37791061,
2454.0,9.351043699999991,
2453.0,9.440189360000005,
2452.0,9.517036439999998,
2451.0,9.52423478,
2450.0,9.329780580000005,
2449.0,9.384124759999992,
2448.0,9.49690627999999,
2447.0,9.351428990000002,
2446.0,9.32332993,
2445.0,9.398395539999996,
2444.0,9.450054170000001,
2443.0,9.385086059999992,
2442.0,9.248397829999988,
2441.0,9.354839319999996,
2440.0,9.377937320000001,
2439.0,9.31743621999999,
2438.0,9.201019290000005,
2437.0,9.295444489999994,
2436.0,9.351520539999996,
2435.0,9.306419369999986,
2434.0,9.185779569999994,
2433.0,9.249130250000007,
2432.0,9.328613279999999,
2431.0,9.227378850000008,
2430.0,9.119213099999996,
2429.0,9.152320860000003,
2428.0,9.37138748000001,
2427.0,9.234767910000002,
2426.0,9.084949499999993,
2425.0,9.162200929999997,
2424.0,9.350814819999997,
2423.0,9.173858639999992,
2422.0,8.932250970000013,
2421.0,9.012451169999991,
2420.0,9.208702079999995,
2419.0,9.337303160000005,
2418.0,8.917400360000002,
2417.0,8.946887970000006,
2416.0,9.282295230000003,
2415.0,9.219261169999996,
2414.0,8.934688569999992,
2413.0,8.873367309999992,
2412.0,9.208000179999999,
2411.0,9.24536513999999,
2410.0,8.78412247,
2409.0,8.83376312,
2408.0,9.16671753,
2407.0,9.265148170000003,
2406.0,8.819046020000002,
2405.0,8.658870699999994,
2404.0,9.10706329,
2403.0,9.207588200000004,
2402.0,8.86158370999999,
2401.0,8.525234220000002,
2400.0,8.996742249999997,
2399.0,9.171642309999996,
2398.0,8.860229489999995,
2397.0,8.595592499999995,
2396.0,8.987602229999993,
2395.0,9.245429989999991,
2394.0,8.848499290000007,
2393.0,8.53766632,
2392.0,8.804874420000004,
2391.0,9.162181849999996,
2390.0,8.799949639999994,
2389.0,8.388801580000006,
2388.0,8.742515569999995,
2387.0,9.107845300000008,
2386.0,8.729549410000004,
2385.0,8.369911189999996,
2384.0,8.750068659999997,
2383.0,9.091552739999997,
2382.0,8.77066422,
2381.0,8.375980370000008,
2380.0,8.643516540000007,
2379.0,8.951522830000002,
2378.0,8.770305640000004,
2377.0,8.365371699999997,
2376.0,8.656147010000012,
2375.0,8.995983120000005,
2374.0,8.6542015,
2373.0,8.258388519999997,
2372.0,8.55165482000001,
2371.0,8.955940249999998,
2370.0,8.698009490000004,
2369.0,8.257560729999994,
2368.0,8.47155760999999,
2367.0,8.802566530000007,
2366.0,8.57741928,
2365.0,8.221408839999995,
2364.0,8.457557680000008,
2363.0,8.839931489999998,
2362.0,8.561431889999994,
2361.0,8.164047240000002,
2360.0,8.432731630000006,
2359.0,8.730533600000001,
2358.0,8.429679870000001,
2357.0,8.186634060000003,
2356.0,8.473339080000002,
2355.0,8.75037003,
2354.0,8.457355500000006,
2353.0,8.105258939999999,
2352.0,8.475112910000007,
2351.0,8.702171329999999,
2350.0,8.343490599999996,
2349.0,8.090980529999996,
2348.0,8.44169235999999,
2347.0,8.695995330000002,
2346.0,8.234603890000002,
2345.0,8.065795899999998,
2344.0,8.496639250000001,
2343.0,8.66751862000001,
2342.0,8.219135280000003,
2341.0,8.029693600000002,
2340.0,8.451225280000003,
2339.0,8.624362950000005,
2338.0,8.19641114000001,
2337.0,7.97257995999999,
2336.0,8.510307310000002,
2335.0,8.547515869999998,
2334.0,8.147293090000005,
2333.0,8.04168319,
2332.0,8.511253350000004,
2331.0,8.42430877999999,
2330.0,7.933952329999997,
2329.0,8.05410766,
2328.0,8.506385800000004,
2327.0,8.429622649999999,
2326.0,7.952903750000004,
2325.0,8.076622009999994,
2324.0,8.57923889,
2323.0,8.423370360000007,
2322.0,7.881759649999992,
2321.0,8.153778070000001,
2320.0,8.553398130000005,
2319.0,8.313526159999995,
2318.0,7.904029850000001,
2317.0,8.152526850000001,
2316.0,8.547195439999996,
2315.0,8.312458039999996,
2314.0,7.990589139999997,
2313.0,8.185417169999994,
2312.0,8.384155270000008,
2311.0,8.220310210000008,
2310.0,8.068485260000003,
2309.0,8.254333500000001,
2308.0,8.311916350000004,
2307.0,8.341217040000004,
2306.0,8.18255615999999,
2305.0,8.18631363,
2304.0,8.311229709999992,
2303.0,8.40006636999999,
2302.0,8.185771950000003,
2301.0,8.081821439999999,
2300.0,8.314445489999997,
2299.0,8.379775999999993,
2298.0,8.136051170000002,
2297.0,7.9863014199999895,
2296.0,8.26165008999999,
2295.0,8.365428930000007,
2294.0,8.151119230000006,
2293.0,8.020610809999994,
2292.0,8.291706089999991,
2291.0,8.262290949999993,
2290.0,8.185195919999998,
2289.0,8.152782439999996,
2288.0,8.181259150000002,
2287.0,8.16531372,
2286.0,8.16421127000001,
2285.0,8.130874640000002,
2284.0,8.13414001000001,
2283.0,8.146606450000007,
2282.0,8.226478569999998,
2281.0,8.146240230000004,
2280.0,8.053245540000006,
2279.0,8.11066056,
2278.0,8.13009262,
2277.0,8.134506220000006,
2276.0,8.054389950000001,
2275.0,8.05247116000001,
2274.0,8.059741970000005,
2273.0,8.109115599999996,
2272.0,7.975708010000005,
2271.0,7.948032380000001,
2270.0,8.121486669999996,
2269.0,8.09028244000001,
2268.0,7.940029140000007,
2267.0,8.065238950000008,
2266.0,8.08200454,
2265.0,7.9849700900000045,
2264.0,7.870391850000004,
2263.0,8.025619509999999,
2262.0,8.0329895,
2261.0,7.921382899999998,
2260.0,7.9795188900000085,
2259.0,8.047042840000003,
2258.0,7.933502199999992,
2257.0,7.903415679999995,
2256.0,7.969848639999995,
2255.0,7.994956979999998,
2254.0,7.930473329999998,
2253.0,7.862838750000009,
2252.0,7.881439209999996,
2251.0,7.945819849999992,
2250.0,7.878238670000002,
2249.0,7.88322067,
2248.0,7.890174869999996,
2247.0,7.812118529999992,
2246.0,7.855163570000002,
2245.0,7.986682889999997,
2244.0,7.813621519999998,
2243.0,7.78769303,
2242.0,7.848056790000001,
2241.0,7.807960510000001,
2240.0,7.787090300000003,
2239.0,7.824562070000013,
2238.0,7.80591201,
2237.0,7.746204370000001,
2236.0,7.7474021900000025,
2235.0,7.7979049699999905,
2234.0,7.832168580000001,
2233.0,7.731044769999997,
2232.0,7.700157160000003,
2231.0,7.833374030000002,
2230.0,7.766277309999992,
2229.0,7.713478089999995,
2228.0,7.707271570000003,
2227.0,7.684047700000008,
2226.0,7.713108070000004,
2225.0,7.661766049999997,
2224.0,7.80502319,
2223.0,7.645412450000009,
2222.0,7.6459999100000005,
2221.0,7.664619439999996,
2220.0,7.670669550000014,
2219.0,7.637420649999996,
2218.0,7.608016969999994,
2217.0,7.578475959999992,
2216.0,7.68108368,
2215.0,7.557506560000007,
2214.0,7.545764930000004,
2213.0,7.559410100000008,
2212.0,7.552379610000003,
2211.0,7.5572051999999985,
2210.0,7.537532800000008,
2209.0,7.6002769400000005,
2208.0,7.5575408899999985,
2207.0,7.455966939999996,
2206.0,7.61593628,
2205.0,7.603710180000007,
2204.0,7.4999732999999935,
2203.0,7.524211890000004,
2202.0,7.5965728799999965,
2201.0,7.469005579999987,
2200.0,7.410388949999998,
2199.0,7.5275726400000025,
2198.0,7.5841331499999995,
2197.0,7.386753080000005,
