Ev,alpha
3.2645716542052186,12188.907470119557,
3.2581375638582015,21991.74426270814,
3.251728785309344,24104.88775115763,
3.2453451694864413,138611.13245500522,
3.2389865684855925,36468.8588643072,
3.232652835559785,61391.39414086454,
3.226343825107601,21947.208289744754,
3.220059392662061,21934.363297361884,
3.2137993948795973,135912.05170821748,
3.207563689529157,135388.62326537477,
3.2013521354814225,38511.87185966855,
3.195164592698176,134363.04326473846,
3.1890009222217652,133857.44394378838,
3.1828609861647075,133351.9811609967,
3.1767446476994032,43234.577320266195,
3.1706517710479747,32817.45361087735,
3.1645822214722172,39771.09163720637,
3.1585358652636675,46649.41634321687,
3.152512569733784,64239.23387860925,
3.146512203204243,28274.1774474806,
3.1405346349973406,28324.024195560807,
3.1345797354265055,37892.29316344723,
3.1286473757869238,128838.55548848162,
3.122737428346262,128352.73106220338,
3.116928122456132,127884.2564703177,
3.111062325422428,30864.530300556627,
3.105218564793128,20556.7854114004,
3.0993967166227536,23224.480333707303,
3.093596657893608,24333.078499836847,
3.08781826650711,29179.77903109839,
3.0820614212752315,125026.93965919236,
3.0763260019120167,124559.5263708092,
3.0706879375649505,27104.182047660554,
3.0649947309171366,26962.81764037376,
3.059322596171935,123189.78741356925,
3.0536714165573127,38696.06149513122,
3.048041076162451,23720.18760846427,
3.04243145992982,29703.780935360814,
3.036916838658208,40430.367537604834,
3.0313480564059563,48156.47815366805,
3.0257996596803007,120524.54583157491,
3.0202715367484347,120084.80917926502,
3.014836884013617,119651.33271707837,
3.009348710074272,56377.035476390156,
3.0038804810432467,118793.5506312908,
2.9984320883932285,118367.44751578278,
2.9930756772658365,117941.00025006833,
2.987666374010458,117508.74389393555,
2.982276587652379,28104.003092500257,
2.9769062127556487,21584.2433197228,
2.9716263656750477,25952.19779489075,
2.966294245061008,115822.32471848352,
2.9609812254928,115409.3610326899,
2.9557576669382795,115006.88262162545,
2.9504822915391937,29604.838993027894,
2.9452257133539206,26687.411912322175,
2.9400575479609214,32752.31555291051,
2.9348380167367334,35902.644816875174,
2.929636985304223,37108.203910386226,
2.924523336597712,50565.7681664205,
2.9193587674843418,112190.68000446974,
2.914212406982254,111794.04224737274,
2.9091524168812035,47644.63606539612,
2.904041946293624,111019.37231592913,
2.898949399215787,110629.08269540245,
2.8939422275531594,110243.2301313063,
2.888885009904003,35757.318485839496,
2.8839125152367884,33843.133284057585,
2.878890260641791,44921.23193217214,
2.873952083981827,108721.64493625035,
2.8689644311148648,41099.82572676704,
2.8639940600831584,31533.17647392859,
2.8591068109087976,32771.84507299908,
2.854170507713168,29503.0428076752,
2.849316699339523,29116.69685233149,
2.84441411491569,36351.75942359095,
2.839593405287314,41929.70673785946,
2.8347241953235174,49678.10056308589,
2.8299362470341465,45313.26003020507,
2.825100071890537,31878.732735508624,
2.8203445521043653,29534.225737687295,
2.8155410767340356,34119.527435845084,
2.8108176571085925,32794.596788191026,
2.806046550980197,36118.09638195853,
2.801354907590773,33407.08415958002,
2.7966158446127127,33738.8811317749,
2.7919556578783107,38025.91808458184,
2.787310976463738,47381.907748005644,
2.7826192709352067,35905.96088061216,
2.778005575834286,30995.468545205786,
2.773345118218136,29715.679261231497,
2.768762100380974,31950.2919444952,
2.764194204643064,44906.57902405151,
2.759579934008324,37765.72565865284,
2.755042260628403,28528.206547546313,
2.750458468766583,28612.96232102332,
2.745950718795624,40867.599934326805,
2.7414577202286297,98925.77682580713,
2.736918983136355,98597.49381474475,
2.73245546788011,54305.11418703439,
2.7280064876028076,35957.02415903312,
2.7235121442548986,45536.19197889971,
2.719092215778324,97315.08637724494,
2.714686610068751,96999.85275855528,
2.7102360123081297,43948.303122136946,
2.7058590352689813,38838.16011879979,
2.7014961728959586,46432.552958609915,
2.6970886851220364,95749.63580637009,
2.692754036466424,95441.42727614325,
2.6884332983880483,95136.07027061697,
2.6841264040322996,34920.29500271291,
2.6797753659208507,35733.36412331898,
2.675496144991692,39148.61234902353,
2.671230568890661,36532.41819078167,
2.666978572459292,45965.01159784425,
2.6626829064311486,49810.178545927745,
2.658458056843347,49127.183005782754,
2.6542465930608836,38355.87888242608,
2.65004845156799,40146.80123531186,
2.6458635692501065,38286.0164777801,
2.6416355993407907,31343.978753129428,
2.6374772246816574,30860.081056107763,
2.6333319213954085,36481.957950485914,
2.6291996279462224,44671.546282090225,
2.6250802831839257,34057.49589173873,
2.620973826340979,34418.1518727853,
2.6168249652819755,79572.60488106604,
2.6127442756155435,89854.37705646557,
2.608676293028531,89575.6293637464,
2.6046209582593174,89297.02427336758,
2.600578212414213,49189.05717495801,
2.596547996964608,38958.03022282051,
2.5925302537441453,43433.991588446115,
2.588524924945927,62800.19874897072,
2.5845319531197366,46929.73871754609,
2.580497572274232,40348.26797566951,
2.5765293085152017,40485.75526801898,
2.572573230730574,47013.35679031992,
2.568629282874309,46868.44526047218,
2.5646974092435304,35491.978907598525,
2.5607775544759073,34498.18800750553,
2.5568696635470496,45441.86919441294,
2.5529736817679405,85787.25740418343,
2.549089554782376,57332.70777898739,
2.5452172285644488,54474.23538170109,
2.5413566494160333,85005.90992689432,
2.537507763964307,41279.59067058117,
2.533670519159293,33771.9256071249,
2.52984486227142,42412.38230827709,
2.5260307408891065,43056.331831635056,
2.5222281029163702,83730.70031369556,
2.5184368965704538,61698.54677749622,
2.5146570703794744,83226.43375524938,
2.5108885731800967,82977.23236455454,
2.507131354115221,41292.50620568702,
2.5034359095234833,25699.25563350381,
2.499700944658468,24297.68751108783,
2.495977107844345,27303.49568217873,
2.492264349422288,54798.45183998493,
2.4885626200285014,81507.35630029856,
2.484871870592032,81265.5353362864,
2.4811920523325997,81022.78907562041,
2.4775231167584524,80782.11671277483,
2.4738650156642326,42100.05276267039,
2.47026691747644,24454.7358371213,
2.4666301970567996,21781.3131482523,
2.4630041688364885,22087.26715230695,
2.4593887857310617,27372.876090819744,
2.455784000932121,29506.76637377889,
2.452189767905302,28608.516076755477,
2.4486543993178502,27348.91939063905,
2.4450809902788517,58155.55942960493,
2.441517995649246,78452.58026122922,
2.4379653699673587,78221.81892696234,
2.4344230680357355,31830.40936032567,
2.430938706645884,35569.29711670518,
2.4274167796671695,77548.52613224798,
2.423905043011085,77323.24201334029,
2.4204034525145928,77101.0648594762,
2.4169590793999767,32711.106716716076,
2.4134775141139144,24628.72907097319,
2.4100059646048284,28146.304017496142,
2.406544387714674,76218.92368605502,
2.4031393184164522,76002.3926838073,
2.3996974249532586,75783.34818516663,
2.3962653766850277,75568.21991109686,
2.3928431314302814,75349.39358319931,
2.3894766970216623,27323.669471798243,
2.386073801144298,21662.51683994914,
2.382680583731647,25492.768079120393,
2.379342663552553,34745.87812257437,
2.3759685501994903,74293.32452771305,
2.372603992863348,29030.926501236547,
2.3692942261620487,24599.129860446665,
2.3659485316971987,24528.308479668613,
2.362657294720735,30380.76644013588,
2.3593303049430077,40475.65326418598,
2.356012671830119,24800.249448812527,
2.352749001006869,28437.8755226227,
2.3494498380781472,30753.61238854925,
