379.79,20.542, 3.255
380.54,20.438, 1.011
381.29,20.109, 0.81
382.04,20.031, -0.828
382.79,20.055, 0.264
383.54,20.179, 0.045
384.29,20.236, 0.972
385.04,20.144, 0.965
385.79,20.207, -0.146
386.54,20.172, -1.444
387.29,19.933, 0.209
388.04,19.977, -0.222
388.79,19.85, -1.24
389.54,19.751, -1.155
390.29,19.878, 0.138
391.04,19.923, 0.317
391.79,19.947, 0.176
392.54,19.818, 0.103
393.29,19.6, 0.031
394.04,19.774, 0.459
394.79,19.89, 0.452
395.54,19.843, 0.193
396.29,19.852, -0.207
397.04,19.847, -0.311
397.78,19.753, -0.35
398.53,19.773, 0.339
399.28,19.861, 0.949
400.03,19.951, 0.703
400.78,20.003, 0.62
401.53,19.962, 0.38
402.28,19.889, -0.213
403.03,19.917, -0.331
403.77,19.803, 0.451
404.52,19.716, 0.453
405.27,19.879, -0.33
406.02,19.954, 0.153
406.77,19.816, 0.614
407.52,19.796, 0.333
408.26,19.786, 0.128
409.01,19.705, 0.069
409.76,19.651, -0.108
410.51,19.648, -0.18
411.25,19.668, -0.025
412,19.65, 0.036
412.75,19.546, -0.25
413.5,19.493, -0.344
414.24,19.54, -0.409
414.99,19.616, -0.302
415.74,19.663, 0.348
416.49,19.705, 0.691
417.23,19.721, 0.425
417.98,19.752, -0.04
418.73,19.733, -0.193
419.47,19.68, -0.07
420.22,19.658, 0.282
420.97,19.631, 0.375
421.71,19.626, 0.204
422.46,19.659, 0.151
423.21,19.729, 0.134
423.95,19.723, 0.044
424.7,19.694, -0.05
425.45,19.712, -0.011
426.19,19.689, 0.053
426.94,19.658, -0.074
427.69,19.674, -0.24
428.43,19.725, -0.103
429.18,19.809, 0.138
429.92,19.842, 0.163
430.67,19.794, 0.061
431.41,19.774, -0.022
432.16,19.768, 0.082
432.91,19.714, 0.195
433.65,19.696, 0.171
434.4,19.701, 0.234
435.14,19.67, 0.241
435.89,19.614, 0.118
436.63,19.58, 0.071
437.38,19.633, 0.037
438.12,19.713, 0.052
438.87,19.714, 0.173
439.61,19.708, 0.217
440.36,19.736, 0.136
441.1,19.748, 0.153
441.85,19.718, 0.11
