Wavelength (nm),A 
380.54,78.551,
381.29,79.081,
382.04,80.797,
382.79,79.681,
383.54,79.776,
384.29,78.792,
385.04,78.891,
385.79,79.939,
386.54,81.27199999999999,
387.29,79.858,
388.04,80.245,
388.79,81.39,
389.54,81.404,
390.29,79.984,
391.04,79.76,
391.79,79.87700000000001,
392.54,80.079,
393.29,80.369,
394.04,79.767,
394.79,79.658,
395.54,79.964,
396.29,80.355,
397.04,80.464,
397.78,80.59700000000001,
398.53,79.888,
399.28,79.19,
400.03,79.346,
400.78,79.377,
401.53,79.658,
402.28,80.324,
403.03,80.414,
403.77,79.746,
404.52,79.831,
405.27,80.451,
406.02,79.893,
406.77,79.57,
407.52,79.87100000000001,
408.26,80.086,
409.01,80.226,
409.76,80.457,
410.51,80.532,
411.25,80.357,
412.0,80.314,
412.75,80.70400000000001,
413.5,80.851,
414.24,80.869,
414.99,80.686,
415.74,79.989,
416.49,79.604,
417.23,79.854,
417.98,80.288,
418.73,80.46000000000001,
419.47,80.39,
420.22,80.06,
420.97,79.994,
421.71,80.17,
422.46,80.19,
423.21,80.137,
423.95,80.233,
424.7,80.356,
425.45,80.299,
426.19,80.258,
426.94,80.416,
427.69,80.566,
428.43,80.378,
429.18,80.053,
429.92,79.995,
430.67,80.145,
431.41,80.24799999999999,
432.16,80.15,
432.91,80.09100000000001,
433.65,80.133,
434.4,80.065,
435.14,80.089,
435.89,80.268,
436.63,80.349,
437.38,80.33,
438.12,80.235,
438.87,80.113,
439.61,80.075,
440.36,80.128,
441.1,80.099,
441.85,80.172,
442.59,80.153,
443.34,80.146,
444.08,80.14500000000001,
444.82,80.182,
445.57,80.15,
446.31,80.112,
447.06,80.068,
447.8,80.09100000000001,
448.54,80.16499999999999,
449.29,80.127,
450.03,80.012,
450.78,80.018,
451.52,80.129,
452.26,80.253,
453.01,80.212,
453.75,80.157,
454.49,80.07,
455.24,80.122,
455.98,80.189,
456.72,80.17099999999999,
457.47,80.11,
458.21,80.123,
458.95,80.161,
459.7,80.249,
460.44,80.311,
461.18,80.22800000000001,
461.92,80.099,
462.67,80.107,
463.41,80.11,
464.15,80.09,
464.89,80.147,
465.64,80.167,
466.38,80.17,
467.12,80.146,
467.86,80.14,
468.6,80.105,
469.35,80.021,
470.09,80.02799999999999,
470.83,80.093,
471.57,80.137,
472.31,80.08,
473.05,80.083,
473.8,80.18,
474.54,80.205,
475.28,80.241,
476.02,80.22,
476.76,80.143,
477.5,80.108,
478.24,80.13300000000001,
478.98,80.195,
479.72,80.179,
480.47,80.174,
481.21,80.161,
481.95,80.166,
482.69,80.14699999999999,
483.43,80.097,
484.17,80.064,
484.91,80.116,
485.65,80.15,
486.39,80.135,
487.13,80.113,
487.87,80.102,
488.61,80.078,
489.35,80.07,
490.09,80.123,
490.83,80.087,
491.57,80.105,
492.31,80.061,
493.05,80.141,
493.79,80.074,
494.53,80.042,
495.26,79.936,
496.0,79.85300000000001,
496.74,79.893,
497.48,79.999,
498.22,80.103,
498.96,80.04,
499.7,80.0,
500.44,79.979,
501.18,79.97,
501.91,79.842,
502.65,79.781,
503.39,79.76599999999999,
504.13,79.887,
504.87,79.902,
505.61,79.936,
506.34,79.914,
507.08,80.039,
507.82,80.068,
508.56,80.001,
509.3,79.86500000000001,
510.03,79.89099999999999,
510.77,80.047,
511.51,80.08500000000001,
512.25,80.106,
512.98,79.928,
513.72,79.897,
514.46,79.931,
515.2,80.099,
515.93,80.16,
516.67,80.064,
517.41,80.041,
518.15,79.926,
518.88,79.798,
519.62,79.697,
520.36,79.793,
521.09,79.886,
521.83,79.969,
522.57,79.853,
523.3,79.792,
524.04,79.747,
524.77,79.83500000000001,
525.51,79.878,
526.25,79.785,
526.98,79.818,
527.72,79.803,
528.45,79.94,
529.19,79.949,
529.93,79.912,
530.66,79.815,
531.4,79.819,
532.13,79.9,
532.87,79.939,
533.6,79.88,
534.34,79.858,
535.07,79.875,
535.81,79.801,
536.54,79.759,
537.28,79.806,
538.01,79.928,
538.75,80.001,
539.48,79.95400000000001,
540.22,79.875,
540.95,79.833,
541.69,79.72,
542.42,79.686,
543.16,79.64699999999999,
543.89,79.62700000000001,
544.63,79.72,
545.36,79.81,
546.09,79.96600000000001,
546.83,79.894,
547.56,79.867,
548.3,79.68299999999999,
549.03,79.803,
549.76,79.793,
550.5,79.762,
551.23,79.73,
551.96,79.687,
552.7,79.727,
553.43,79.785,
554.16,79.63900000000001,
554.9,79.601,
555.63,79.572,
556.36,79.612,
557.1,79.67699999999999,
557.83,79.543,
558.56,79.49,
559.3,79.458,
560.03,79.493,
560.76,79.559,
561.49,79.598,
562.23,79.538,
562.96,79.499,
563.69,79.397,
564.42,79.39500000000001,
565.15,79.482,
565.89,79.521,
566.62,79.557,
567.35,79.523,
568.08,79.589,
568.81,79.62100000000001,
569.55,79.66,
570.28,79.565,
571.01,79.504,
571.74,79.43,
572.47,79.435,
573.2,79.41499999999999,
573.94,79.455,
574.67,79.396,
575.4,79.376,
576.13,79.327,
576.86,79.34100000000001,
577.59,79.425,
578.32,79.49600000000001,
579.05,79.492,
579.78,79.443,
580.51,79.394,
581.24,79.346,
581.97,79.292,
582.7,79.235,
583.43,79.187,
584.17,79.213,
584.9,79.305,
585.63,79.32,
586.36,79.336,
587.09,79.378,
587.82,79.412,
588.54,79.488,
589.27,79.477,
590.0,79.379,
590.73,79.32300000000001,
591.46,79.247,
592.19,79.231,
592.92,79.374,
593.65,79.425,
594.38,79.42099999999999,
595.11,79.494,
595.84,79.435,
596.57,79.352,
597.3,79.378,
598.03,79.372,
598.75,79.374,
599.48,79.395,
600.21,79.349,
600.94,79.292,
601.67,79.259,
602.4,79.264,
603.12,79.32900000000001,
603.85,79.38,
604.58,79.37700000000001,
605.31,79.338,
606.04,79.282,
606.77,79.269,
607.49,79.259,
608.22,79.224,
608.95,79.285,
609.68,79.357,
610.4,79.374,
611.13,79.464,
611.86,79.512,
612.59,79.499,
613.31,79.537,
614.04,79.568,
614.77,79.488,
615.49,79.431,
616.22,79.348,
616.95,79.298,
617.67,79.334,
618.4,79.389,
619.13,79.418,
619.85,79.444,
620.58,79.362,
621.31,79.32,
622.03,79.3,
622.76,79.25200000000001,
623.49,79.265,
624.21,79.37,
624.94,79.42099999999999,
625.66,79.462,
626.39,79.468,
627.12,79.457,
627.84,79.386,
628.57,79.364,
629.29,79.403,
630.02,79.418,
630.74,79.467,
631.47,79.495,
632.2,79.489,
632.92,79.418,
633.65,79.37,
634.37,79.361,
635.1,79.392,
635.82,79.399,
636.55,79.42699999999999,
637.27,79.509,
637.99,79.462,
638.72,79.449,
639.44,79.423,
640.17,79.411,
640.89,79.37,
641.62,79.439,
642.34,79.44200000000001,
643.07,79.499,
643.79,79.483,
644.51,79.426,
645.24,79.34100000000001,
645.96,79.27799999999999,
646.69,79.234,
647.41,79.181,
648.13,79.10300000000001,
648.86,78.987,
649.58,78.936,
650.3,78.889,
651.03,78.876,
651.75,78.878,
652.47,78.887,
653.2,78.869,
653.92,78.836,
654.64,78.768,
655.37,78.744,
656.09,78.718,
656.81,78.765,
657.53,78.755,
658.26,78.771,
658.98,78.658,
659.7,78.666,
660.42,78.565,
661.15,78.495,
661.87,78.453,
662.59,78.533,
663.31,78.53999999999999,
664.03,78.523,
664.76,78.50399999999999,
665.48,78.486,
666.2,78.476,
666.92,78.393,
667.64,78.431,
668.37,78.41499999999999,
669.09,78.462,
669.81,78.408,
670.53,78.44800000000001,
671.25,78.394,
671.97,78.45,
672.69,78.42,
673.41,78.456,
674.13,78.424,
674.86,78.424,
675.58,78.364,
676.3,78.333,
677.02,78.301,
677.74,78.314,
678.46,78.351,
679.18,78.376,
679.9,78.37,
680.62,78.346,
681.34,78.332,
682.06,78.291,
682.78,78.27799999999999,
683.5,78.363,
684.22,78.434,
684.94,78.44200000000001,
685.66,78.443,
686.38,78.461,
687.1,78.408,
687.82,78.355,
688.54,78.355,
689.26,78.374,
689.98,78.354,
690.7,78.331,
691.42,78.315,
692.13,78.319,
692.85,78.294,
693.57,78.286,
694.29,78.303,
695.01,78.303,
695.73,78.272,
696.45,78.241,
697.17,78.208,
697.88,78.145,
698.6,78.127,
699.32,78.122,
700.04,78.103,
700.76,78.09899999999999,
701.48,78.105,
702.19,78.119,
702.91,78.118,
703.63,78.106,
704.35,78.085,
705.07,78.07300000000001,
705.78,78.05199999999999,
706.5,78.001,
707.22,77.968,
707.94,77.944,
708.65,77.937,
709.37,77.90899999999999,
710.09,77.883,
710.81,77.858,
711.52,77.827,
712.24,77.772,
712.96,77.711,
713.67,77.678,
714.39,77.657,
715.11,77.608,
715.82,77.551,
716.54,77.527,
717.26,77.512,
717.97,77.48,
718.69,77.41,
719.41,77.332,
720.12,77.268,
720.84,77.195,
721.55,77.12,
722.27,77.042,
722.99,76.99,
723.7,76.979,
724.42,76.967,
725.13,76.951,
725.85,76.94,
726.56,76.939,
727.28,76.94200000000001,
727.99,76.945,
728.71,76.926,
729.43,76.906,
730.14,76.882,
730.86,76.843,
731.57,76.8,
732.29,76.74000000000001,
733.0,76.682,
733.71,76.645,
734.43,76.61,
735.14,76.533,
735.86,76.394,
736.57,76.13499999999999,
737.29,75.746,
738.0,75.17,
738.72,74.333,
739.43,73.19,
740.14,71.731,
740.86,69.86500000000001,
741.57,67.66499999999999,
742.29,65.134,
743.0,62.24,
743.71,59.033,
744.43,55.603,
745.14,52.073,
745.85,48.547,
746.57,44.951,
747.28,41.43599999999999,
747.99,38.066,
748.71,34.873999999999995,
749.42,31.84899999999999,
750.13,29.022999999999996,
750.85,26.384,
751.56,23.938999999999993,
752.27,21.703000000000003,
752.99,19.644000000000005,
753.7,17.77000000000001,
754.41,16.09700000000001,
755.12,14.576000000000008,
755.84,13.215000000000003,
756.55,12.043999999999997,
757.26,10.942999999999998,
757.97,10.070000000000007,
758.68,9.236000000000004,
759.4,8.454999999999998,
760.11,7.759999999999991,
760.82,7.173999999999992,
761.53,6.587000000000003,
762.24,6.042000000000002,
762.96,5.549999999999997,
763.67,5.162999999999997,
764.38,4.841000000000008,
765.09,4.539999999999992,
765.8,4.212999999999994,
766.51,3.8810000000000002,
767.22,3.6740000000000066,
767.94,3.365000000000009,
768.65,3.0720000000000027,
769.36,2.7930000000000064,
770.07,2.5279999999999916,
770.78,2.287000000000006,
771.49,2.173000000000002,
772.2,1.9420000000000073,
772.91,1.7660000000000053,
773.62,1.6430000000000007,
774.33,1.5330000000000155,
775.04,1.3999999999999915,
775.75,1.2620000000000005,
776.46,1.1140000000000043,
777.17,0.9809999999999945,
777.88,0.8849999999999909,
778.59,0.7600000000000051,
779.3,0.6039999999999992,
780.01,0.46399999999999864,
780.72,0.40800000000000125,
781.43,0.3130000000000024,
782.14,0.23499999999999943,
782.85,0.1629999999999967,
783.56,0.10499999999998977,
784.27,0.07900000000000773,
784.98,0.045000000000001705,
785.69,-0.03700000000000614,
786.4,-0.10999999999999943,
787.11,-0.18500000000000227,
787.82,-0.2669999999999959,
788.53,-0.3539999999999992,
789.24,-0.492999999999995,
789.95,-0.5759999999999934,
790.65,-0.6219999999999857,
791.36,-0.6970000000000027,
792.07,-0.7469999999999857,
792.78,-0.7669999999999959,
793.49,-0.8340000000000032,
794.2,-0.8629999999999995,
794.91,-0.882000000000005,
795.61,-0.953000000000003,
796.32,-1.024000000000001,
797.03,-1.0600000000000023,
797.74,-1.0630000000000024,
798.45,-1.0759999999999934,
799.15,-1.1119999999999948,
799.86,-1.141999999999996,
800.57,-1.1940000000000026,
801.28,-1.240000000000009,
801.98,-1.2729999999999961,
802.69,-1.304000000000002,
803.4,-1.3629999999999995,
804.11,-1.3870000000000005,
804.81,-1.3950000000000102,
805.52,-1.4230000000000018,
806.23,-1.453000000000003,
806.94,-1.4639999999999986,
807.64,-1.516999999999996,
808.35,-1.5859999999999985,
809.06,-1.634999999999991,
809.76,-1.671999999999997,
810.47,-1.766999999999996,
811.18,-1.8460000000000036,
811.88,-1.899000000000001,
812.59,-1.9519999999999982,
813.3,-1.9650000000000034,
814.0,-1.9939999999999998,
814.71,-2.069999999999993,
815.42,-2.1269999999999953,
816.12,-2.1259999999999906,
816.83,-2.138999999999996,
817.53,-2.155000000000001,
818.24,-2.165999999999997,
818.94,-2.182000000000002,
819.65,-2.162000000000006,
820.36,-2.1569999999999965,
821.06,-2.161999999999992,
821.77,-2.176000000000002,
822.47,-2.187000000000012,
823.18,-2.2079999999999984,
823.88,-2.25,
824.59,-2.313999999999993,
825.29,-2.3769999999999953,
826.0,-2.4380000000000024,
826.7,-2.4819999999999993,
827.41,-2.5220000000000056,
828.11,-2.542999999999992,
828.82,-2.5259999999999962,
829.52,-2.5319999999999965,
830.23,-2.5519999999999925,
830.93,-2.561000000000007,
831.64,-2.584000000000003,
832.34,-2.6469999999999914,
833.05,-2.6710000000000065,
833.75,-2.6700000000000017,
834.45,-2.6740000000000066,
835.16,-2.682000000000002,
835.86,-2.7190000000000083,
836.57,-2.7950000000000017,
837.27,-2.870999999999995,
837.97,-2.8799999999999955,
838.68,-2.865000000000009,
839.38,-2.908999999999992,
840.08,-2.9439999999999884,
840.79,-2.9669999999999987,
841.49,-2.962999999999994,
842.19,-2.9279999999999973,
842.9,-2.8930000000000007,
843.6,-2.882000000000005,
844.3,-2.905000000000001,
845.01,-2.930000000000007,
845.71,-2.915999999999997,
846.41,-2.959000000000003,
847.12,-2.9979999999999905,
847.82,-3.0030000000000143,
848.52,-2.9809999999999945,
849.22,-2.9329999999999927,
849.93,-2.9259999999999877,
850.63,-2.9369999999999976,
851.33,-2.9470000000000027,
852.03,-2.986000000000004,
852.74,-2.9679999999999893,
853.44,-2.9339999999999975,
854.14,-2.944999999999993,
854.84,-3.0039999999999907,
855.54,-2.9849999999999994,
856.25,-2.9470000000000027,
856.95,-2.8569999999999993,
857.65,-2.784000000000006,
858.35,-2.734999999999985,
859.05,-2.747000000000014,
859.75,-2.7609999999999957,
860.46,-2.728999999999999,
861.16,-2.7250000000000085,
861.86,-2.8089999999999975,
862.56,-2.9029999999999916,
863.26,-3.033999999999992,
863.96,-3.1399999999999864,
864.66,-3.1680000000000064,
865.36,-3.1939999999999884,
866.06,-3.253,
866.76,-3.347999999999999,
867.47,-3.3840000000000003,
868.17,-3.365000000000009,
868.87,-3.3100000000000023,
869.57,-3.245999999999995,
870.27,-3.254000000000005,
870.97,-3.280000000000001,
871.67,-3.298000000000002,
872.37,-3.3400000000000034,
873.07,-3.3419999999999987,
873.77,-3.3619999999999948,
874.47,-3.375,
875.17,-3.4200000000000017,
875.87,-3.513999999999996,
876.57,-3.526999999999987,
877.27,-3.4919999999999902,
877.97,-3.5080000000000098,
878.67,-3.4299999999999926,
879.36,-3.3499999999999943,
880.06,-3.2949999999999875,
880.76,-3.2950000000000017,
881.46,-3.2690000000000055,
882.16,-3.2179999999999893,
882.86,-3.221999999999994,
883.56,-3.2609999999999957,
884.26,-3.2339999999999947,
884.96,-3.26100000000001,
885.66,-3.3130000000000024,
886.35,-3.3030000000000115,
887.05,-3.253,
887.75,-3.1809999999999974,
888.45,-3.1610000000000014,
889.15,-3.138999999999996,
889.85,-3.1299999999999955,
890.54,-3.1159999999999997,
891.24,-3.128,
891.94,-3.1210000000000093,
892.64,-3.1440000000000055,
893.34,-3.1979999999999933,
894.03,-3.2450000000000045,
894.73,-3.301000000000002,
895.43,-3.347999999999999,
896.13,-3.372,
896.82,-3.394999999999996,
897.52,-3.3930000000000007,
898.22,-3.4110000000000014,
898.92,-3.432000000000002,
899.61,-3.4279999999999973,
900.31,-3.4450000000000074,
901.01,-3.4339999999999975,
901.71,-3.4099999999999966,
902.4,-3.4110000000000014,
903.1,-3.4259999999999877,
903.8,-3.448999999999998,
904.49,-3.4579999999999984,
905.19,-3.465999999999994,
905.89,-3.4809999999999945,
906.58,-3.504000000000005,
907.28,-3.538000000000011,
907.98,-3.5700000000000074,
908.67,-3.582000000000008,
909.37,-3.584000000000003,
910.06,-3.5889999999999986,
910.76,-3.5960000000000036,
911.46,-3.5730000000000075,
912.15,-3.5360000000000014,
912.85,-3.531000000000006,
913.54,-3.5390000000000015,
914.24,-3.558000000000007,
914.93,-3.6119999999999948,
915.63,-3.6539999999999964,
916.33,-3.6440000000000055,
917.02,-3.617999999999995,
917.72,-3.602000000000004,
918.41,-3.594999999999999,
919.11,-3.5859999999999985,
919.8,-3.5749999999999886,
920.5,-3.5559999999999974,
921.19,-3.495999999999995,
921.89,-3.4180000000000064,
922.58,-3.3659999999999997,
923.28,-3.3490000000000038,
923.97,-3.3629999999999995,
924.66,-3.4070000000000107,
925.36,-3.477000000000004,
926.05,-3.532999999999987,
926.75,-3.5520000000000067,
927.44,-3.5660000000000025,
928.14,-3.6119999999999948,
928.83,-3.6709999999999923,
929.52,-3.6979999999999933,
930.22,-3.716000000000008,
930.91,-3.719999999999999,
931.61,-3.6740000000000066,
932.3,-3.608000000000004,
932.99,-3.5790000000000077,
933.69,-3.6260000000000048,
934.38,-3.7010000000000076,
935.07,-3.747,
935.77,-3.730000000000004,
936.46,-3.7450000000000045,
937.15,-3.783999999999992,
937.85,-3.8329999999999984,
938.54,-3.896000000000001,
939.23,-3.963000000000008,
939.92,-3.9960000000000093,
940.62,-3.9980000000000047,
941.31,-3.9609999999999985,
942.0,-3.899000000000001,
942.7,-3.850999999999999,
943.39,-3.862000000000009,
944.08,-3.8329999999999984,
944.77,-3.8259999999999934,
945.47,-3.8430000000000035,
946.16,-3.8870000000000005,
946.85,-3.951999999999998,
947.54,-4.022999999999996,
948.23,-4.092000000000013,
948.93,-4.138000000000005,
949.62,-4.157000000000011,
950.31,-4.231999999999999,
951.0,-4.307000000000002,
951.69,-4.390999999999991,
952.38,-4.405000000000001,
953.08,-4.352000000000004,
953.77,-4.280999999999992,
954.46,-4.201999999999998,
955.15,-4.1440000000000055,
